MDatum	MTeplota	MObloha
3.1.2013	-7.7	srážky
4.1.2013	-7.3	zataženo
5.1.2013	-6.9	srážky
6.1.2013	-3.5	sluneèno
7.1.2013	-3.1	srážky
8.1.2013	0.3	zataženo
9.1.2013	2.8	sluneèno
10.1.2013	1.1	srážky
11.1.2013	8.8	sluneèno
12.1.2013	4.1	zataženo
13.1.2013	-5.9	sluneèno
14.1.2013	-8.7	sluneèno
15.1.2013	-6.7	zataženo
16.1.2013	-3.6	srážky
17.1.2013	-4.3	sluneèno
18.1.2013	-0.9	sluneèno
19.1.2013	3.8	zataženo
20.1.2013	-9.1	sluneèno
21.1.2013	-13.4	sluneèno
22.1.2013	-14.6	srážky
23.1.2013	-9.5	srážky
24.1.2013	-10.2	sluneèno
25.1.2013	-5.4	srážky
26.1.2013	-6.9	srážky
27.1.2013	-1.4	srážky
28.1.2013	5.6	zataženo
29.1.2013	12.8	sluneèno
30.1.2013	0.7	zataženo
31.1.2013	-10.9	sluneèno
1.2.2013	-14.3	zataženo
2.2.2013	-9.7	sluneèno
3.2.2013	-9.8	zataženo
4.2.2013	-9.9	zataženo
5.2.2013	-10.1	zataženo
6.2.2013	-2.4	zataženo
7.2.2013	0.5	sluneèno
8.2.2013	-4.2	srážky
9.2.2013	-2.2	sluneèno
10.2.2013	4.1	srážky
11.2.2013	0.4	sluneèno
12.2.2013	-3.4	srážky
13.2.2013	-0.6	srážky
14.2.2013	1.8	srážky
15.2.2013	-3	srážky
16.2.2013	-9.4	sluneèno
17.2.2013	-7	zataženo
18.2.2013	3.9	zataženo
19.2.2013	-9.6	sluneèno
20.2.2013	-10	sluneèno
21.2.2013	-4.8	sluneèno
22.2.2013	-2.6	zataženo
23.2.2013	-4.7	srážky
24.2.2013	-4.7	srážky
25.2.2013	-0.3	srážky
26.2.2013	0.7	srážky
27.2.2013	0.1	sluneèno
28.2.2013	0.3	srážky
1.3.2013	-3.6	zataženo
2.3.2013	-5.2	sluneèno
3.3.2013	-5.5	zataženo
4.3.2013	-5.9	zataženo
5.3.2013	-6.3	srážky
6.3.2013	-1.7	srážky
7.3.2013	-1.2	sluneèno
8.3.2013	-1.3	zataženo
9.3.2013	3.3	zataženo
10.3.2013	6.6	zataženo
11.3.2013	1.9	sluneèno
12.3.2013	-0.9	zataženo
13.3.2013	-2.9	srážky
14.3.2013	-1.7	sluneèno
15.3.2013	1.1	sluneèno
16.3.2013	-0.2	sluneèno
17.3.2013	-0.8	srážky
18.3.2013	-1.6	zataženo
19.3.2013	-4.7	zataženo
20.3.2013	-7.7	zataženo
21.3.2013	-5.5	zataženo
22.3.2013	-2.3	sluneèno
23.3.2013	0.6	zataženo
24.3.2013	0.5	zataženo
25.3.2013	0.3	sluneèno
26.3.2013	1.8	zataženo
27.3.2013	1.7	srážky
28.3.2013	2.7	srážky
29.3.2013	5.5	zataženo
30.3.2013	7	zataženo
31.3.2013	6.9	sluneèno
1.4.2013	0.4	zataženo
2.4.2013	0.4	zataženo
3.4.2013	0.4	sluneèno
4.4.2013	0.5	zataženo
5.4.2013	0.5	zataženo
6.4.2013	11.4	sluneèno
7.4.2013	8.9	srážky
8.4.2013	12.1	sluneèno
9.4.2013	7.4	sluneèno
10.4.2013	4.4	sluneèno
11.4.2013	5.8	sluneèno
12.4.2013	3.8	zataženo
13.4.2013	3.6	sluneèno
14.4.2013	12.2	srážky
15.4.2013	12.2	srážky
16.4.2013	7.5	srážky
17.4.2013	6.7	srážky
18.4.2013	10.7	sluneèno
19.4.2013	2.5	zataženo
20.4.2013	2.6	srážky
21.4.2013	6.1	srážky
22.4.2013	12.5	zataženo
23.4.2013	7.8	srážky
24.4.2013	5.3	srážky
25.4.2013	6	sluneèno
26.4.2013	11.1	srážky
27.4.2013	13.4	srážky
28.4.2013	14.2	sluneèno
29.4.2013	16.7	srážky
30.4.2013	21.9	sluneèno
1.5.2013	22.4	srážky
2.5.2013	10.5	sluneèno
3.5.2013	10.1	sluneèno
4.5.2013	9.7	srážky
5.5.2013	9.4	srážky
6.5.2013	16.6	zataženo
7.5.2013	17.8	srážky
8.5.2013	18.7	zataženo
9.5.2013	15.3	srážky
10.5.2013	8.5	zataženo
11.5.2013	8.9	zataženo
12.5.2013	7.4	srážky
13.5.2013	11.2	srážky
14.5.2013	22.7	zataženo
15.5.2013	23.7	srážky
16.5.2013	20.2	sluneèno
17.5.2013	17.3	sluneèno
18.5.2013	20.3	sluneèno
19.5.2013	23.7	sluneèno
20.5.2013	24.9	srážky
21.5.2013	21.6	srážky
22.5.2013	18.6	sluneèno
23.5.2013	10.5	zataženo
24.5.2013	9.9	srážky
25.5.2013	10.8	srážky
26.5.2013	13.3	zataženo
27.5.2013	14.8	zataženo
28.5.2013	20.2	zataženo
29.5.2013	22.7	sluneèno
30.5.2013	23.5	sluneèno
31.5.2013	20.9	sluneèno
1.6.2013	19.5	srážky
2.6.2013	12.9	srážky
3.6.2013	12.5	srážky
4.6.2013	12.1	sluneèno
5.6.2013	11.7	srážky
6.6.2013	14.2	srážky
7.6.2013	15.6	srážky
8.6.2013	17.1	zataženo
9.6.2013	20.7	sluneèno
10.6.2013	21.1	sluneèno
11.6.2013	21.8	zataženo
12.6.2013	22.2	zataženo
13.6.2013	19.9	sluneèno
14.6.2013	18.7	srážky
15.6.2013	20.8	sluneèno
16.6.2013	23.4	sluneèno
17.6.2013	22.9	srážky
18.6.2013	17.2	sluneèno
19.6.2013	18.7	zataženo
20.6.2013	23.1	sluneèno
21.6.2013	22.7	zataženo
22.6.2013	22.2	zataženo
23.6.2013	23.1	sluneèno
24.6.2013	21.8	srážky
25.6.2013	23.6	srážky
26.6.2013	22.4	srážky
27.6.2013	24.7	srážky
28.6.2013	22.2	srážky
29.6.2013	19.1	srážky
30.6.2013	20.4	sluneèno
1.7.2013	20.2	zataženo
2.7.2013	17.8	sluneèno
3.7.2013	17.8	sluneèno
4.7.2013	17.8	srážky
5.7.2013	17.8	zataženo
6.7.2013	23.1	srážky
7.7.2013	25.2	zataženo
8.7.2013	24.8	zataženo
9.7.2013	25.1	srážky
10.7.2013	24.2	sluneèno
11.7.2013	21.3	sluneèno
12.7.2013	21.1	zataženo
13.7.2013	22.9	srážky
14.7.2013	25.6	zataženo
15.7.2013	26.5	zataženo
16.7.2013	27.1	sluneèno
17.7.2013	27.5	zataženo
18.7.2013	27.7	sluneèno
19.7.2013	27.9	srážky
20.7.2013	24.3	zataženo
21.7.2013	23.4	zataženo
22.7.2013	23.9	zataženo
23.7.2013	20.8	sluneèno
24.7.2013	17.9	srážky
25.7.2013	19	zataženo
26.7.2013	18.3	sluneèno
27.7.2013	14.7	sluneèno
28.7.2013	15	sluneèno
29.7.2013	18.4	zataženo
30.7.2013	17.9	srážky
31.7.2013	19.6	sluneèno
1.8.2013	20.1	srážky
2.8.2013	22.6	sluneèno
3.8.2013	22.7	srážky
4.8.2013	22.8	srážky
5.8.2013	22.9	srážky
6.8.2013	22.7	sluneèno
7.8.2013	24.5	sluneèno
8.8.2013	21.4	sluneèno
9.8.2013	21.2	sluneèno
10.8.2013	22.1	sluneèno
11.8.2013	20.2	sluneèno
12.8.2013	22.6	srážky
13.8.2013	17.6	sluneèno
14.8.2013	16.4	sluneèno
15.8.2013	17.1	zataženo
16.8.2013	19.5	zataženo
17.8.2013	20	zataženo
18.8.2013	20.7	srážky
19.8.2013	20.8	zataženo
20.8.2013	22.1	srážky
21.8.2013	24	srážky
22.8.2013	21.1	sluneèno
23.8.2013	21.2	zataženo
24.8.2013	22.3	srážky
25.8.2013	23.4	srážky
26.8.2013	24.3	zataženo
27.8.2013	26.9	zataženo
28.8.2013	25.5	srážky
29.8.2013	24.9	srážky
30.8.2013	24.3	srážky
31.8.2013	21.8	srážky
1.9.2013	22.3	sluneèno
2.9.2013	20.1	sluneèno
3.9.2013	19.9	srážky
4.9.2013	19.7	srážky
5.9.2013	19.4	srážky
6.9.2013	21.4	srážky
7.9.2013	22.6	zataženo
8.9.2013	22.8	zataženo
9.9.2013	26.2	zataženo
10.9.2013	27.2	zataženo
11.9.2013	24.7	sluneèno
12.9.2013	20.8	zataženo
13.9.2013	14.2	srážky
14.9.2013	13.4	zataženo
15.9.2013	13.6	sluneèno
16.9.2013	13.4	sluneèno
17.9.2013	15.2	sluneèno
18.9.2013	20	sluneèno
19.9.2013	24.9	sluneèno
20.9.2013	18.9	zataženo
21.9.2013	13.7	zataženo
22.9.2013	13.1	sluneèno
23.9.2013	13.8	sluneèno
24.9.2013	14.9	sluneèno
25.9.2013	15.3	srážky
26.9.2013	16.9	sluneèno
27.9.2013	18.5	sluneèno
28.9.2013	20.4	srážky
29.9.2013	13.9	srážky
30.9.2013	14.5	sluneèno
1.10.2013	19.2	zataženo
2.10.2013	19.8	sluneèno
3.10.2013	19.7	zataženo
4.10.2013	19.6	zataženo
5.10.2013	19.6	zataženo
6.10.2013	10.8	sluneèno
7.10.2013	12	srážky
8.10.2013	14.7	srážky
9.10.2013	14.3	zataženo
10.10.2013	15.1	srážky
11.10.2013	17.8	srážky
12.10.2013	16.2	sluneèno
13.10.2013	10.2	srážky
14.10.2013	10.9	srážky
15.10.2013	13.6	srážky
16.10.2013	9.6	zataženo
17.10.2013	8.1	zataženo
18.10.2013	5.7	srážky
19.10.2013	7	zataženo
20.10.2013	9.1	srážky
21.10.2013	5.7	sluneèno
22.10.2013	0.4	srážky
23.10.2013	2.4	zataženo
24.10.2013	2.1	sluneèno
25.10.2013	4.6	sluneèno
26.10.2013	6.5	zataženo
27.10.2013	4.2	srážky
28.10.2013	6	srážky
29.10.2013	8.6	sluneèno
30.10.2013	12.2	sluneèno
31.10.2013	14.2	zataženo
1.11.2013	7	zataženo
2.11.2013	4.8	zataženo
3.11.2013	4.7	zataženo
4.11.2013	4.5	sluneèno
5.11.2013	4.3	zataženo
6.11.2013	7.9	srážky
7.11.2013	1.1	zataženo
8.11.2013	3.6	srážky
9.11.2013	9.1	zataženo
10.11.2013	4.4	zataženo
11.11.2013	2.5	zataženo
12.11.2013	-4.3	zataženo
13.11.2013	-2.1	zataženo
14.11.2013	3.4	zataženo
15.11.2013	4.9	zataženo
16.11.2013	10.7	sluneèno
17.11.2013	12.5	sluneèno
18.11.2013	2.7	sluneèno
19.11.2013	0.3	sluneèno
20.11.2013	2.9	sluneèno
21.11.2013	6.9	srážky
22.11.2013	1.3	zataženo
23.11.2013	-6.3	zataženo
24.11.2013	-8.1	sluneèno
25.11.2013	-2.8	zataženo
26.11.2013	-2.7	sluneèno
27.11.2013	-7.6	srážky
28.11.2013	-3.9	zataženo
29.11.2013	-3.9	sluneèno
30.11.2013	2.1	sluneèno
1.12.2013	1.4	sluneèno
2.12.2013	2.8	srážky
3.12.2013	2.9	srážky
4.12.2013	3.1	zataženo
5.12.2013	3.2	srážky
6.12.2013	-9.1	zataženo
7.12.2013	-11.3	zataženo
8.12.2013	-6.8	srážky
9.12.2013	-10.6	srážky
10.12.2013	-12.8	srážky
11.12.2013	-12	srážky
12.12.2013	-14.5	srážky
13.12.2013	-5.2	srážky
14.12.2013	-2.7	zataženo
15.12.2013	-11	zataženo
16.12.2013	-9.9	srážky
17.12.2013	-4.6	sluneèno
18.12.2013	-5.3	zataženo
19.12.2013	-0.8	zataženo
20.12.2013	0.6	srážky
21.12.2013	-0.8	sluneèno
22.12.2013	-1.9	srážky
23.12.2013	-13.2	srážky
24.12.2013	-15.7	sluneèno
25.12.2013	-5.2	sluneèno
26.12.2013	-4.6	zataženo
27.12.2013	-1.1	sluneèno
28.12.2013	2.4	sluneèno
29.12.2013	-3.3	sluneèno
30.12.2013	-15.6	sluneèno
31.12.2013	-14.4	srážky
