HVek	HPohlavi	HMesto	HMesto_X	HMesto_Y	HStat	PPobytOd	PNoci	POsob	PTypPobytu	PCenaUbytovani	PCenaStrava	PCenaSleva	PCenaCelkem	DHodnoceni	DUbytovani	DStrava	DPersonal	DZabava
77	muž	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	0.00	200.00	67560.00	nespokojen	39	34	27	72
71	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	prùmìr	25	60	41	60
71	muž	Bratislava	17.1097606	48.1547933	Slovensko	17.2.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	26	58	55	57
22	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	44	54	59	33
70	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	14	38	38	48
21	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	1	rekreaèní	8470.00	0.00	200.00	8270.00	prùmìr	26	54	72	60
43	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	34	53	41	64
30	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	58	56	45	57
60	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	41	49	59	34
25	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	33	59	55	57
29	žena	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	59	55	54	63
31	žena	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	41	41	56	49
65	žena	Drážïany	13.7397044	51.0497456	Nìmecko	20.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	43	60	43	61
64	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	41	58	57	51
21	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	33	66	55	61
33	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	59	66	60	47
71	žena	Vídeò	16.3736767	48.2115631	Rakousko	20.2.2012	2	4	rekreaèní	9680.00	1200.00	0.00	10880.00	prùmìr	58	56	48	57
34	žena	Hradec Králové	15.8353464	50.2100194	ÈR	22.2.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	spokojen	88	86	90	56
53	muž	Hradec Králové	15.8353464	50.2100194	ÈR	22.2.2012	21	2	rekreaèní	50820.00	6300.00	200.00	56920.00	spokojen	86	96	98	21
51	muž	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	84	89	99	49
50	muž	Vídeò	16.3736767	48.2115631	Rakousko	22.2.2012	2	1	rekreaèní	2420.00	300.00	0.00	2720.00	prùmìr	33	57	69	33
34	muž	Jihlava	15.5909008	49.3963828	ÈR	22.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	87	99	98	60
65	muž	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	87	100	99	54
51	muž	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	89	93	99	27
60	žena	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	95	93	64	26
30	muž	Hradec Králové	15.8353464	50.2100194	ÈR	22.2.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	spokojen	88	99	76	58
45	muž	Jihlava	15.5909008	49.3963828	ÈR	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	97	85	75	25
66	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	99	97	88	51
65	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	90	99	85	23
35	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	99	100	87	21
30	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	93	100	98	27
67	muž	Olomouc	17.2498364	49.5961789	ÈR	23.2.2012	16	2	rekreaèní	38720.00	4800.00	200.00	43320.00	prùmìr	28	57	42	34
49	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	94	91	92	54
36	žena	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	3	služební	3630.00	0.00	0.00	3630.00	spokojen	81	88	62	49
73	muž	Vídeò	16.3736767	48.2115631	Rakousko	24.2.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	43	52	43	60
55	žena	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	53	53	47
18	muž	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	50	66	54	33
43	muž	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	51	54	42	51
55	žena	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	prùmìr	49	53	59	46
22	muž	Praha	14.4212806	50.0874967	ÈR	24.2.2012	14	1	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	32	26	39	3
25	žena	Bratislava	17.1097606	48.1547933	Slovensko	24.2.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	27	59	58	47
47	žena	Vídeò	16.3736767	48.2115631	Rakousko	24.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	43	55	70	33
21	muž	Praha	14.4212806	50.0874967	ÈR	24.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	27	51	55	57
70	žena	Bratislava	17.1097606	48.1547933	Slovensko	24.2.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	28	59	47	58
51	muž	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	35	53	57	63
19	žena	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	prùmìr	33	50	42	33
24	žena	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	26	44	60	60
79	muž	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	44	53	55	57
79	žena	Jihlava	15.5909008	49.3963828	ÈR	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	26	49	59	47
51	žena	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	36	43	42	36
29	žena	Nitra	18.0902903	48.3139558	Slovensko	29.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	85	82	88	59
68	muž	Zlín	17.6700633	49.2280669	ÈR	29.2.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	36	56	60	33
64	žena	Salzburg	13.0475658	47.798095	Rakousko	29.2.2012	1	4	služební	4840.00	600.00	0.00	5440.00	spokojen	90	89	88	53
27	žena	Linec	14.2862742	48.3066489	Rakousko	1.3.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	95	93	75	21
22	muž	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	41	68	43	36
76	žena	Praha	14.4212806	50.0874967	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	35	68	56	48
31	muž	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	52	55	70	46
75	žena	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	28	41	41	63
82	muž	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	28	65	56	47
51	žena	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	34	44	42	46
77	muž	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	59	56	60	35
53	žena	Olomouc	17.2498364	49.5961789	ÈR	2.3.2012	2	3	rekreaèní	7260.00	0.00	200.00	7060.00	prùmìr	52	59	46	52
20	muž	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	42	55	71	36
21	muž	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	58	66	48	51
68	žena	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	41	68	70	51
20	muž	Ostrava	18.2825511	49.8341497	ÈR	2.3.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	90	93	89	22
56	žena	Zlín	17.6700633	49.2280669	ÈR	2.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	49	67	44	36
19	muž	Zlín	17.6700633	49.2280669	ÈR	3.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	96	82	98	50
81	muž	Zlín	17.6700633	49.2280669	ÈR	3.3.2012	7	4	rekreaèní	33880.00	0.00	600.00	33280.00	spokojen	87	86	90	50
82	žena	Zlín	17.6700633	49.2280669	ÈR	3.3.2012	7	4	rekreaèní	33880.00	0.00	600.00	33280.00	spokojen	86	96	75	55
65	muž	Èeské Budìjovice	14.4757883	48.9763169	ÈR	4.3.2012	1	1	rekreaèní	1210.00	0.00	200.00	1010.00	nespokojen	16	29	39	53
31	žena	Karlovy Vary	12.8690381	50.2311075	ÈR	5.3.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	33	44	57	51
43	muž	Berlín	13.3908886	52.5176189	Nìmecko	5.3.2012	2	3	rekreaèní	7260.00	0.00	0.00	7260.00	prùmìr	26	68	71	49
32	muž	Drážïany	13.7397044	51.0497456	Nìmecko	5.3.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	prùmìr	28	44	69	57
20	žena	Jihlava	15.5909008	49.3963828	ÈR	5.3.2012	1	1	služební	1210.00	0.00	0.00	1210.00	nespokojen	39	37	28	69
22	žena	Vídeò	16.3736767	48.2115631	Rakousko	7.3.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	36	43	70	33
25	muž	Olomouc	17.2498364	49.5961789	ÈR	8.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	60	59	44	34
51	žena	Olomouc	17.2498364	49.5961789	ÈR	8.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	50	43	46	49
36	muž	Ostrava	18.2825511	49.8341497	ÈR	9.3.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	82	86	98	56
66	muž	Ostrava	18.2825511	49.8341497	ÈR	9.3.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	spokojen	91	96	74	26
21	muž	Drážïany	13.7397044	51.0497456	Nìmecko	9.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	43	50	47	34
80	žena	Berlín	13.3908886	52.5176189	Nìmecko	9.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	25	68	53	60
21	žena	Kladno	14.1022533	50.1484586	ÈR	9.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	43	60	57	52
81	muž	Kladno	14.1022533	50.1484586	ÈR	9.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	58	50	56	50
20	žena	Zlín	17.6700633	49.2280669	ÈR	10.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	88	100	92	55
21	muž	Vídeò	16.3736767	48.2115631	Rakousko	10.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	86	96	73	54
29	žena	Jihlava	15.5909008	49.3963828	ÈR	10.3.2012	7	3	rekreaèní	25410.00	0.00	600.00	24810.00	spokojen	95	87	88	56
20	muž	Zlín	17.6700633	49.2280669	ÈR	10.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	94	98	91	57
65	žena	Zlín	17.6700633	49.2280669	ÈR	10.3.2012	7	1	rekreaèní	8470.00	0.00	600.00	7870.00	spokojen	87	96	64	56
74	žena	Zlín	17.6700633	49.2280669	ÈR	10.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	87	98	73	58
43	žena	Èeské Budìjovice	14.4757883	48.9763169	ÈR	11.3.2012	1	1	rekreaèní	1210.00	0.00	200.00	1010.00	nespokojen	31	21	27	45
24	muž	Liberec	15.0663036	50.7709239	ÈR	11.3.2012	1	4	rekreaèní	4840.00	0.00	200.00	4640.00	spokojen	93	81	100	54
37	žena	Praha	14.4212806	50.0874967	ÈR	12.3.2012	1	1	služební	1210.00	0.00	0.00	1210.00	nespokojen	23	28	13	55
38	žena	Pardubice	15.780415	50.0409775	ÈR	12.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	34	60	53	63
38	žena	Zlín	17.6700633	49.2280669	ÈR	14.3.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	44	60	60	34
35	žena	Vídeò	16.3736767	48.2115631	Rakousko	14.3.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	prùmìr	26	49	48	63
79	žena	Vídeò	16.3736767	48.2115631	Rakousko	14.3.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	52	41	53	58
65	muž	Vídeò	16.3736767	48.2115631	Rakousko	14.3.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	49	51	43	46
63	muž	Vídeò	16.3736767	48.2115631	Rakousko	14.3.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	35	65	56	62
33	muž	Vídeò	16.3736767	48.2115631	Rakousko	14.3.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	prùmìr	59	68	59	52
71	žena	Plzeò	13.3771556	49.7490406	ÈR	15.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	27	57	42	45
76	žena	Olomouc	17.2498364	49.5961789	ÈR	15.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	28	68	58	57
56	muž	Plzeò	13.3771556	49.7490406	ÈR	15.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	27	49	70	48
30	žena	Plzeò	13.3771556	49.7490406	ÈR	15.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	57	55	54	64
40	muž	Plzeò	13.3771556	49.7490406	ÈR	15.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	33	60	42	47
78	žena	Plzeò	13.3771556	49.7490406	ÈR	15.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	42	67	54	49
39	muž	Zlín	17.6700633	49.2280669	ÈR	15.3.2012	1	4	služební	4840.00	0.00	0.00	4840.00	prùmìr	25	54	43	60
19	žena	Plzeò	13.3771556	49.7490406	ÈR	15.3.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	49	41	55	36
33	muž	Berlín	13.3908886	52.5176189	Nìmecko	16.3.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	33	41	69	52
21	žena	Mnichov	11.5836375	48.1364669	Nìmecko	16.3.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	prùmìr	35	41	57	61
