HAge	HNationality	HPersons	HRoom	HVisitFrom	HNights	HPrice	HVisitType
79	CZ	4	230	16.5.2012	1	4840	Tourist
55	SK	2	230	16.5.2012	8	19360	Tourist
48	SK	1	210	16.5.2012	21	25410	Tourist
32	CZ	4	210	16.5.2012	14	67760	Tourist
18	CZ	1	310	16.5.2012	21	25410	Tourist
57	AT	1	210	16.5.2012	14	16940	Tourist
38	SK	1	120	19.5.2012	14	16940	Tourist
38	CZ	1	240	19.5.2012	1	1210	Tourist
41	CZ	1	310	20.5.2012	21	25410	Tourist
66	GE	2	310	20.5.2012	1	2420	Tourist
46	CZ	1	120	20.5.2012	14	16940	Tourist
53	CZ	2	220	20.5.2012	4	9680	Tourist
28	SK	3	130	22.5.2012	7	25410	Tourist
76	SK	2	110	22.5.2012	2	4840	Business
38	CZ	2	120	22.5.2012	14	33880	Tourist
28	CZ	4	210	22.5.2012	7	33880	Tourist
65	CZ	1	320	23.5.2012	2	2420	Tourist
64	CZ	1	210	23.5.2012	2	2420	Tourist
63	SK	2	130	24.5.2012	14	33880	Tourist
81	SK	2	130	26.5.2012	7	16940	Tourist
20	SK	1	210	27.5.2012	1	1210	Tourist
26	CZ	2	310	27.5.2012	2	4840	Tourist
65	GE	2	220	28.5.2012	21	50820	Tourist
62	CZ	4	110	29.5.2012	1	4840	Tourist
60	PL	3	240	29.5.2012	4	14520	Business
59	CZ	1	310	29.5.2012	1	1210	Business
45	CZ	1	310	30.5.2012	2	2420	Tourist
23	CZ	1	210	30.5.2012	2	2420	Tourist
48	SK	1	220	31.5.2012	4	4840	Tourist
76	GE	1	220	1.6.2012	14	16940	Tourist
43	GE	1	110	2.6.2012	7	8470	Tourist
37	SK	2	120	2.6.2012	2	4840	Tourist
36	CZ	2	310	3.6.2012	21	50820	Tourist
75	CZ	3	120	3.6.2012	2	7260	Tourist
71	SK	3	220	5.6.2012	14	50820	Tourist
77	CZ	1	120	5.6.2012	2	2420	Tourist
66	CZ	2	320	5.6.2012	2	4840	Tourist
48	CZ	1	130	6.6.2012	3	3630	Tourist
42	AT	2	310	7.6.2012	21	50820	Business
64	SK	3	130	7.6.2012	21	76230	Tourist
28	CZ	1	210	7.6.2012	7	8470	Tourist
72	SK	2	220	7.6.2012	2	4840	Business
29	CZ	1	130	8.6.2012	6	7260	Tourist
53	CZ	2	240	9.6.2012	2	4840	Tourist
21	SK	1	220	9.6.2012	2	2420	Tourist
33	GE	2	130	10.6.2012	7	16940	Tourist
52	CZ	1	130	12.6.2012	7	8470	Tourist
80	CZ	3	210	12.6.2012	21	76230	Tourist
45	GE	1	230	12.6.2012	2	2420	Tourist
57	GE	2	130	13.6.2012	2	4840	Business
27	CZ	1	230	14.6.2012	21	25410	Tourist
31	PL	1	210	16.6.2012	14	16940	Tourist
63	AT	1	130	16.6.2012	21	25410	Tourist
30	PL	2	310	17.6.2012	2	4840	Tourist
50	PL	3	110	17.6.2012	7	25410	Tourist
44	SK	2	120	19.6.2012	2	4840	Tourist
45	GE	2	110	20.6.2012	4	9680	Tourist
40	CZ	1	230	21.6.2012	7	8470	Tourist
68	AT	2	240	21.6.2012	62	150040	Tourist
57	PL	2	130	22.6.2012	1	2420	Tourist
54	GE	1	230	23.6.2012	1	1210	Tourist
69	CZ	1	120	23.6.2012	7	8470	Tourist
77	CZ	2	240	24.6.2012	21	50820	Business
79	GE	2	120	24.6.2012	1	2420	Business
52	GE	3	110	26.6.2012	14	50820	Tourist
50	GE	2	240	27.6.2012	3	7260	Business
28	SK	2	130	28.6.2012	1	2420	Tourist
69	SK	2	130	2.7.2012	2	4840	Tourist
60	CZ	1	120	3.7.2012	2	2420	Tourist
59	GE	2	310	3.7.2012	7	16940	Tourist
56	PL	3	110	3.7.2012	1	3630	Tourist
32	CZ	1	130	5.7.2012	14	16940	Tourist
39	AT	1	120	6.7.2012	14	16940	Tourist
53	AT	4	230	7.7.2012	21	101640	Tourist
59	GE	1	120	7.7.2012	7	8470	Tourist
50	PL	1	120	8.7.2012	2	2420	Tourist
41	SK	2	320	9.7.2012	14	33880	Tourist
41	CZ	1	320	9.7.2012	1	1210	Tourist
59	CZ	3	240	9.7.2012	2	7260	Tourist
65	GE	3	320	9.7.2012	7	25410	Tourist
73	CZ	2	110	9.7.2012	1	2420	Tourist
40	CZ	1	110	11.7.2012	1	1210	Tourist
39	SK	2	120	13.7.2012	2	4840	Tourist
51	CZ	2	240	14.7.2012	1	2420	Tourist
68	SK	2	130	15.7.2012	21	50820	Business
55	SK	1	210	16.7.2012	1	1210	Tourist
64	CZ	1	240	16.7.2012	7	8470	Tourist
18	CZ	4	310	16.7.2012	1	4840	Tourist
54	SK	1	320	17.7.2012	2	2420	Tourist
70	SK	2	130	18.7.2012	21	50820	Tourist
58	SK	1	120	18.7.2012	21	25410	Tourist
69	GE	1	130	19.7.2012	2	2420	Tourist
47	GE	1	230	22.7.2012	2	2420	Tourist
54	CZ	1	130	24.7.2012	8	9680	Business
68	PL	2	220	24.7.2012	7	16940	Tourist
80	GE	2	320	25.7.2012	93	225060	Business
33	CZ	1	240	25.7.2012	9	10890	Business
21	PL	1	310	25.7.2012	2	2420	Tourist
43	SK	2	110	26.7.2012	7	16940	Tourist
36	CZ	1	230	27.7.2012	21	25410	Tourist
69	SK	2	220	28.7.2012	2	4840	Tourist
32	CZ	1	310	29.7.2012	7	8470	Business
33	CZ	1	120	29.7.2012	21	25410	Business
22	SK	2	110	30.7.2012	1	2420	Tourist
74	SK	3	310	30.7.2012	2	7260	Tourist
30	GE	1	110	30.7.2012	21	25410	Tourist
61	PL	1	110	31.7.2012	18	21780	Tourist
57	SK	3	210	1.8.2012	2	7260	Tourist
46	GE	2	320	5.8.2012	7	16940	Business
68	GE	2	120	7.8.2012	1	2420	Tourist
36	CZ	1	320	8.8.2012	7	8470	Tourist
56	PL	2	310	8.8.2012	7	16940	Tourist
76	SK	3	210	8.8.2012	1	3630	Tourist
72	SK	2	310	9.8.2012	14	33880	Tourist
57	CZ	4	220	9.8.2012	7	33880	Tourist
51	SK	2	240	13.8.2012	2	4840	Business
34	SK	1	230	14.8.2012	21	25410	Tourist
50	CZ	2	230	14.8.2012	21	50820	Business
40	SK	2	310	15.8.2012	21	50820	Tourist
68	GE	2	310	15.8.2012	3	7260	Business
45	PL	3	120	16.8.2012	2	7260	Tourist
62	CZ	1	220	18.8.2012	2	2420	Tourist
49	GE	4	210	18.8.2012	7	33880	Business
24	SK	1	310	19.8.2012	1	1210	Tourist
71	CZ	1	230	20.8.2012	2	2420	Tourist
41	CZ	3	230	22.8.2012	2	7260	Tourist
53	GE	1	320	22.8.2012	14	16940	Tourist
34	GE	4	110	23.8.2012	7	33880	Tourist
44	AT	3	130	23.8.2012	1	3630	Business
19	CZ	1	320	23.8.2012	7	8470	Business
24	CZ	3	220	24.8.2012	21	76230	Tourist
58	CZ	1	310	24.8.2012	2	2420	Tourist
59	GE	2	240	26.8.2012	5	12100	Tourist
49	SK	2	120	26.8.2012	21	50820	Tourist
29	AT	1	320	26.8.2012	14	16940	Business
78	CZ	1	130	26.8.2012	3	3630	Business
48	GE	1	210	27.8.2012	1	1210	Business
41	CZ	4	320	27.8.2012	1	4840	Business
50	CZ	1	220	29.8.2012	2	2420	Tourist
18	CZ	1	120	29.8.2012	7	8470	Tourist
19	CZ	3	210	29.8.2012	7	25410	Tourist
24	CZ	2	240	30.8.2012	2	4840	Tourist
47	AT	2	220	30.8.2012	1	2420	Tourist
56	SK	1	230	30.8.2012	7	8470	Business
21	CZ	2	120	31.8.2012	14	33880	Business
56	CZ	1	130	1.9.2012	1	1210	Tourist
54	CZ	2	240	1.9.2012	21	50820	Tourist
39	GE	3	110	1.9.2012	5	18150	Business
19	SK	3	310	1.9.2012	2	7260	Tourist
50	CZ	2	310	1.9.2012	1	2420	Tourist
74	GE	1	110	3.9.2012	6	7260	Business
39	AT	1	120	3.9.2012	2	2420	Tourist
39	SK	1	310	4.9.2012	9	10890	Tourist
45	GE	2	120	4.9.2012	2	4840	Tourist
71	CZ	3	110	5.9.2012	7	25410	Tourist
63	CZ	1	220	5.9.2012	14	16940	Tourist
35	PL	3	230	5.9.2012	2	7260	Tourist
71	GE	1	130	6.9.2012	14	16940	Tourist
56	SK	1	240	6.9.2012	1	1210	Tourist
62	CZ	1	130	9.9.2012	2	2420	Tourist
55	CZ	1	110	9.9.2012	2	2420	Tourist
27	CZ	1	210	10.9.2012	5	6050	Tourist
60	CZ	2	240	11.9.2012	3	7260	Business
64	CZ	1	310	11.9.2012	7	8470	Tourist
45	AT	2	120	12.9.2012	1	2420	Business
37	CZ	2	110	13.9.2012	14	33880	Tourist
34	SK	1	230	13.9.2012	2	2420	Tourist
32	SK	1	240	14.9.2012	14	16940	Business
61	GE	2	130	15.9.2012	7	16940	Tourist
25	AT	2	230	16.9.2012	2	4840	Tourist
58	CZ	1	220	16.9.2012	7	8470	Tourist
39	PL	2	310	16.9.2012	21	50820	Tourist
33	CZ	2	320	16.9.2012	7	16940	Tourist
40	CZ	1	320	16.9.2012	21	25410	Tourist
39	CZ	1	220	16.9.2012	1	1210	Tourist
20	GE	2	210	16.9.2012	6	14520	Tourist
82	SK	2	110	18.9.2012	21	50820	Business
73	CZ	3	110	18.9.2012	2	7260	Business
36	SK	2	210	18.9.2012	62	150040	Business
62	SK	3	120	21.9.2012	2	7260	Business
34	SK	2	240	21.9.2012	2	4840	Tourist
31	CZ	2	230	21.9.2012	21	50820	Business
23	CZ	2	210	22.9.2012	7	16940	Tourist
62	CZ	2	210	23.9.2012	2	4840	Tourist
45	AT	3	220	24.9.2012	1	3630	Tourist
50	CZ	2	110	25.9.2012	7	16940	Tourist
52	GE	2	120	25.9.2012	1	2420	Tourist
35	CZ	2	320	26.9.2012	1	2420	Tourist
65	GE	3	310	28.9.2012	21	76230	Business
29	SK	2	310	28.9.2012	21	50820	Tourist
82	CZ	1	120	28.9.2012	14	16940	Tourist
78	SK	1	220	1.10.2012	7	8470	Tourist
25	CZ	1	220	2.10.2012	2	2420	Tourist
81	GE	2	120	5.10.2012	14	33880	Tourist
38	PL	4	230	7.10.2012	2	9680	Tourist
37	SK	3	120	8.10.2012	2	7260	Business
50	CZ	1	120	8.10.2012	62	75020	Business
56	CZ	1	130	9.10.2012	1	1210	Tourist
65	SK	1	240	9.10.2012	21	25410	Business
65	CZ	2	320	10.10.2012	7	16940	Business
39	GE	2	320	11.10.2012	1	2420	Tourist
56	CZ	1	120	11.10.2012	1	1210	Business
58	CZ	2	210	12.10.2012	7	16940	Tourist
47	GE	2	230	12.10.2012	4	9680	Tourist
22	SK	1	110	15.10.2012	14	16940	Tourist
44	AT	1	210	15.10.2012	2	2420	Tourist
43	AT	1	320	17.10.2012	2	2420	Tourist
65	SK	1	110	19.10.2012	2	2420	Tourist
81	CZ	2	120	19.10.2012	2	4840	Tourist
46	CZ	2	120	19.10.2012	2	4840	Tourist
21	CZ	1	230	20.10.2012	14	16940	Tourist
37	GE	3	320	20.10.2012	1	3630	Tourist
25	SK	1	240	20.10.2012	14	16940	Business
40	CZ	2	230	21.10.2012	7	16940	Tourist
23	SK	2	220	21.10.2012	2	4840	Business
82	SK	2	240	21.10.2012	2	4840	Tourist
65	SK	2	320	21.10.2012	2	4840	Business
63	SK	1	310	22.10.2012	14	16940	Tourist
51	CZ	2	240	23.10.2012	2	4840	Tourist
19	CZ	4	240	24.10.2012	14	67760	Tourist
78	CZ	1	320	26.10.2012	7	8470	Tourist
22	GE	2	110	26.10.2012	2	4840	Tourist
80	CZ	4	110	26.10.2012	62	300080	Business
77	CZ	4	120	27.10.2012	1	4840	Tourist
56	SK	1	130	27.10.2012	2	2420	Tourist
40	CZ	4	210	28.10.2012	1	4840	Business
28	GE	2	310	28.10.2012	21	50820	Business
71	SK	1	120	29.10.2012	14	16940	Tourist
22	SK	1	120	30.10.2012	1	1210	Business
71	SK	1	310	31.10.2012	6	7260	Business
41	GE	2	120	31.10.2012	2	4840	Tourist
40	CZ	3	310	1.11.2012	21	76230	Tourist
47	CZ	2	110	3.11.2012	21	50820	Tourist
56	SK	4	310	3.11.2012	2	9680	Tourist
68	SK	2	220	3.11.2012	21	50820	Tourist
32	CZ	2	310	4.11.2012	21	50820	Tourist
53	CZ	2	210	4.11.2012	1	2420	Tourist
26	CZ	2	230	4.11.2012	7	16940	Tourist
65	CZ	1	310	4.11.2012	2	2420	Tourist
66	CZ	1	310	6.11.2012	21	25410	Tourist
50	GE	2	120	6.11.2012	14	33880	Tourist
40	SK	1	220	8.11.2012	7	8470	Tourist
69	CZ	1	320	8.11.2012	2	2420	Tourist
40	SK	3	240	9.11.2012	7	25410	Tourist
77	CZ	1	320	9.11.2012	2	2420	Tourist
36	SK	2	310	10.11.2012	14	33880	Tourist
68	CZ	2	240	13.11.2012	21	50820	Business
44	SK	3	240	14.11.2012	7	25410	Business
25	SK	1	110	15.11.2012	1	1210	Tourist
65	AT	3	320	16.11.2012	14	50820	Business
39	PL	2	240	17.11.2012	7	16940	Tourist
32	PL	1	130	17.11.2012	21	25410	Tourist
75	CZ	1	310	18.11.2012	1	1210	Tourist
23	SK	1	130	18.11.2012	2	2420	Tourist
21	SK	4	110	18.11.2012	2	9680	Tourist
32	CZ	2	310	19.11.2012	21	50820	Tourist
33	SK	2	120	19.11.2012	7	16940	Tourist
66	CZ	2	220	20.11.2012	2	4840	Business
48	SK	2	310	22.11.2012	2	4840	Business
24	PL	2	230	22.11.2012	14	33880	Tourist
55	GE	3	110	23.11.2012	7	25410	Tourist
71	CZ	2	320	23.11.2012	2	4840	Tourist
43	AT	2	130	23.11.2012	1	2420	Tourist
46	SK	1	230	23.11.2012	2	2420	Tourist
59	CZ	2	130	23.11.2012	7	16940	Tourist
56	CZ	3	120	24.11.2012	2	7260	Tourist
43	PL	2	230	24.11.2012	7	16940	Tourist
35	SK	2	210	24.11.2012	2	4840	Business
24	CZ	1	220	25.11.2012	13	15730	Tourist
39	SK	1	320	25.11.2012	7	8470	Tourist
61	SK	3	220	25.11.2012	5	18150	Business
39	SK	3	210	26.11.2012	14	50820	Tourist
21	SK	1	110	27.11.2012	3	3630	Tourist
81	SK	4	130	28.11.2012	2	9680	Business
67	GE	1	210	28.11.2012	14	16940	Tourist
58	SK	1	240	28.11.2012	7	8470	Tourist
72	PL	2	220	29.11.2012	5	12100	Business
59	PL	2	210	1.12.2012	62	150040	Tourist
39	GE	1	220	3.12.2012	7	8470	Tourist
79	CZ	2	320	3.12.2012	14	33880	Tourist
59	CZ	2	130	3.12.2012	7	16940	Tourist
67	CZ	2	220	3.12.2012	7	16940	Tourist
42	GE	2	210	3.12.2012	2	4840	Tourist
79	GE	1	310	3.12.2012	1	1210	Tourist
33	GE	2	120	5.12.2012	2	4840	Tourist
70	GE	2	210	6.12.2012	14	33880	Tourist
65	SK	2	210	6.12.2012	5	12100	Tourist
48	CZ	2	310	7.12.2012	21	50820	Tourist
45	GE	4	210	7.12.2012	17	82280	Business
31	AT	1	320	10.12.2012	2	2420	Tourist
65	PL	2	320	12.12.2012	7	16940	Tourist
31	CZ	1	320	12.12.2012	2	2420	Business
58	SK	2	120	12.12.2012	2	4840	Tourist
66	AT	1	310	14.12.2012	1	1210	Tourist
22	GE	2	220	14.12.2012	21	50820	Tourist
64	GE	1	240	14.12.2012	2	2420	Tourist
67	CZ	3	230	15.12.2012	14	50820	Tourist
48	CZ	1	220	15.12.2012	7	8470	Tourist
54	CZ	3	320	15.12.2012	7	25410	Tourist
66	SK	2	310	15.12.2012	1	2420	Tourist
82	GE	2	210	15.12.2012	2	4840	Tourist
56	CZ	1	220	16.12.2012	8	9680	Business
81	GE	2	130	17.12.2012	2	4840	Tourist
55	AT	1	130	18.12.2012	21	25410	Tourist
38	SK	1	220	18.12.2012	7	8470	Tourist
52	CZ	3	210	19.12.2012	14	50820	Tourist
24	GE	1	230	19.12.2012	2	2420	Tourist
55	CZ	2	210	20.12.2012	21	50820	Tourist
47	CZ	2	120	20.12.2012	7	16940	Tourist
59	GE	1	210	23.12.2012	2	2420	Business
19	SK	2	220	23.12.2012	6	14520	Business
50	CZ	1	310	23.12.2012	2	2420	Tourist
31	SK	1	320	25.12.2012	21	25410	Tourist
82	SK	2	220	25.12.2012	21	50820	Tourist
20	SK	1	230	25.12.2012	7	8470	Tourist
70	CZ	3	230	25.12.2012	2	7260	Tourist
52	SK	1	130	26.12.2012	7	8470	Tourist
69	CZ	1	220	26.12.2012	5	6050	Tourist
36	CZ	2	310	26.12.2012	1	2420	Tourist
37	CZ	1	240	26.12.2012	1	1210	Tourist
55	CZ	1	240	27.12.2012	4	4840	Tourist
22	CZ	2	210	27.12.2012	21	50820	Tourist
44	PL	1	240	28.12.2012	14	16940	Tourist
49	PL	2	120	28.12.2012	14	33880	Tourist
63	SK	1	240	28.12.2012	62	75020	Tourist
54	SK	3	310	28.12.2012	7	25410	Tourist
72	SK	1	210	29.12.2012	7	8470	Tourist
31	SK	1	110	30.12.2012	7	8470	Tourist
37	CZ	1	310	31.12.2012	14	16940	Tourist
59	CZ	1	110	1.1.2013	4	5800	Tourist
59	GE	1	110	1.1.2013	2	2900	Tourist
29	CZ	2	210	2.1.2013	10	29000	Tourist
72	CZ	2	110	4.1.2013	14	40600	Tourist
57	CZ	2	210	4.1.2013	4	11600	Tourist
25	GE	1	130	4.1.2013	14	20300	Tourist
58	SK	1	320	6.1.2013	1	1450	Tourist
80	GE	2	230	6.1.2013	21	60900	Business
66	CZ	1	110	8.1.2013	2	2900	Tourist
60	CZ	2	130	9.1.2013	1	2900	Business
20	SK	2	220	11.1.2013	1	2900	Tourist
51	SK	1	130	11.1.2013	1	1450	Tourist
42	SK	2	210	12.1.2013	2	5800	Tourist
65	PL	2	240	12.1.2013	2	5800	Tourist
50	SK	1	310	14.1.2013	1	1450	Tourist
19	CZ	1	220	15.1.2013	1	1450	Tourist
37	CZ	1	210	15.1.2013	21	30450	Tourist
69	PL	2	240	16.1.2013	1	2900	Tourist
57	GE	1	220	18.1.2013	21	30450	Tourist
55	CZ	1	310	18.1.2013	1	1450	Tourist
78	CZ	1	230	18.1.2013	14	20300	Tourist
64	CZ	1	320	19.1.2013	62	89900	Tourist
60	AT	2	230	20.1.2013	7	20300	Tourist
49	CZ	1	110	20.1.2013	4	5800	Tourist
81	GE	1	220	20.1.2013	7	10150	Tourist
30	CZ	3	110	22.1.2013	2	8700	Tourist
34	CZ	1	320	23.1.2013	2	2900	Tourist
74	CZ	1	110	23.1.2013	21	30450	Business
19	CZ	1	310	23.1.2013	21	30450	Tourist
64	CZ	2	210	23.1.2013	1	2900	Tourist
76	CZ	1	240	23.1.2013	7	10150	Tourist
27	CZ	2	110	24.1.2013	2	5800	Tourist
74	SK	2	220	24.1.2013	21	60900	Tourist
