HAge	HNationality	HPersons	HRoom	HVisitFrom	HNights	HPrice	HVisitType	WSky	WTempAvg	XEUR
60	CZ	3	110	9.2.2012 0:00:00	21	76230.00	Tourist	Cloudy	-2.70	24.98
67	GE	2	240	9.2.2012 0:00:00	14	33880.00	Business	Cloudy	-2.70	24.98
53	SK	2	240	10.2.2012 0:00:00	62	150040.00	Tourist	Cloudy	-3.40	25.25
35	GE	4	120	11.2.2012 0:00:00	14	67760.00	Tourist	Cloudy	-9.70	25.25
33	SK	1	320	12.2.2012 0:00:00	2	2420.00	Tourist	Cloudy	-4.90	25.25
72	GE	4	230	12.2.2012 0:00:00	2	9680.00	Tourist	Rain/Snow	-4.90	25.25
54	CZ	3	310	12.2.2012 0:00:00	2	7260.00	Business	Rain/Snow	-4.90	25.25
56	GE	1	320	13.2.2012 0:00:00	5	6050.00	Tourist	Cloudy	-3.80	25.05
47	CZ	2	240	13.2.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	-3.80	25.05
81	GE	2	110	14.2.2012 0:00:00	7	16940.00	Tourist	Cloudy	-0.10	25.09
63	GE	1	320	14.2.2012 0:00:00	62	75020.00	Business	Sunny	-0.10	25.09
25	PL	2	240	14.2.2012 0:00:00	1	2420.00	Tourist	Rain/Snow	-0.10	25.09
31	CZ	3	230	14.2.2012 0:00:00	1	3630.00	Tourist	Cloudy	-0.10	25.09
29	CZ	1	210	14.2.2012 0:00:00	2	2420.00	Tourist	Cloudy	-0.10	25.09
64	AT	1	310	15.2.2012 0:00:00	7	8470.00	Tourist	Sunny	2.70	25.19
42	SK	4	120	15.2.2012 0:00:00	14	67760.00	Tourist	Sunny	2.70	25.19
19	CZ	4	320	16.2.2012 0:00:00	2	9680.00	Business	Sunny	3.40	25.27
42	GE	2	230	17.2.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	2.30	25.00
38	SK	2	130	18.2.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	0.40	25.00
21	CZ	1	130	20.2.2012 0:00:00	7	8470.00	Tourist	Sunny	0.10	24.91
48	CZ	2	320	20.2.2012 0:00:00	1	2420.00	Tourist	Cloudy	0.10	24.91
50	SK	2	210	20.2.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	0.10	24.91
81	SK	1	210	21.2.2012 0:00:00	62	75020.00	Tourist	Sunny	2.60	24.91
82	CZ	2	320	21.2.2012 0:00:00	2	4840.00	Tourist	Cloudy	2.60	24.91
44	CZ	2	320	21.2.2012 0:00:00	21	50820.00	Tourist	Rain/Snow	2.60	24.91
44	SK	1	310	23.2.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	0.40	25.07
40	CZ	2	230	23.2.2012 0:00:00	1	2420.00	Business	Sunny	0.40	25.07
66	CZ	2	210	23.2.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	0.40	25.07
61	SK	2	240	23.2.2012 0:00:00	2	4840.00	Business	Sunny	0.40	25.07
74	AT	1	130	24.2.2012 0:00:00	7	8470.00	Tourist	Sunny	-0.90	25.03
76	CZ	2	210	25.2.2012 0:00:00	2	4840.00	Tourist	Cloudy	-6.80	25.03
48	SK	2	120	27.2.2012 0:00:00	9	21780.00	Tourist	Cloudy	-0.90	25.05
43	CZ	1	220	27.2.2012 0:00:00	2	2420.00	Tourist	Cloudy	-0.90	25.05
27	CZ	1	130	27.2.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	-0.90	25.05
40	GE	1	230	28.2.2012 0:00:00	14	16940.00	Tourist	Cloudy	1.40	24.90
73	SK	1	130	2.3.2012 0:00:00	7	8470.00	Tourist	Sunny	2.10	24.71
62	CZ	2	120	3.3.2012 0:00:00	21	50820.00	Tourist	Rain/Snow	2.00	24.71
44	CZ	2	230	4.3.2012 0:00:00	14	33880.00	Tourist	Rain/Snow	1.90	24.71
72	SK	2	220	7.3.2012 0:00:00	1	2420.00	Business	Sunny	14.90	24.87
39	SK	2	220	7.3.2012 0:00:00	2	4840.00	Tourist	Sunny	14.90	24.87
50	SK	1	310	8.3.2012 0:00:00	7	8470.00	Tourist	Sunny	4.30	24.77
31	AT	4	110	9.3.2012 0:00:00	15	72600.00	Tourist	Rain/Snow	0.50	24.72
64	CZ	1	120	9.3.2012 0:00:00	2	2420.00	Tourist	Sunny	0.50	24.72
44	SK	1	310	10.3.2012 0:00:00	1	1210.00	Tourist	Cloudy	5.70	24.72
20	SK	2	110	11.3.2012 0:00:00	21	50820.00	Tourist	Cloudy	10.70	24.72
81	CZ	4	210	11.3.2012 0:00:00	7	33880.00	Tourist	Rain/Snow	10.70	24.72
58	PL	1	310	12.3.2012 0:00:00	2	2420.00	Business	Cloudy	13.50	24.56
67	CZ	1	130	12.3.2012 0:00:00	6	7260.00	Tourist	Rain/Snow	13.50	24.56
21	SK	4	230	12.3.2012 0:00:00	2	9680.00	Tourist	Sunny	13.50	24.56
42	SK	1	210	13.3.2012 0:00:00	1	1210.00	Business	Cloudy	12.90	24.59
72	SK	2	320	14.3.2012 0:00:00	7	16940.00	Tourist	Sunny	16.70	24.61
76	CZ	1	230	15.3.2012 0:00:00	14	16940.00	Tourist	Cloudy	18.60	24.56
52	CZ	4	320	15.3.2012 0:00:00	21	101640.00	Tourist	Sunny	18.60	24.56
40	CZ	2	110	16.3.2012 0:00:00	2	4840.00	Tourist	Cloudy	18.30	24.51
40	GE	1	320	16.3.2012 0:00:00	21	25410.00	Tourist	Cloudy	18.30	24.51
54	SK	1	130	16.3.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	18.30	24.51
36	CZ	2	230	16.3.2012 0:00:00	2	4840.00	Tourist	Sunny	18.30	24.51
80	GE	2	230	17.3.2012 0:00:00	14	33880.00	Business	Rain/Snow	19.70	24.51
67	CZ	1	310	18.3.2012 0:00:00	7	8470.00	Tourist	Rain/Snow	19.90	24.51
20	GE	3	240	19.3.2012 0:00:00	62	225060.00	Tourist	Rain/Snow	20.20	24.53
53	SK	1	110	21.3.2012 0:00:00	5	6050.00	Tourist	Rain/Snow	22.70	24.63
26	PL	2	310	22.3.2012 0:00:00	7	16940.00	Business	Cloudy	19.80	24.74
74	SK	2	110	22.3.2012 0:00:00	7	16940.00	Tourist	Sunny	19.80	24.74
65	GE	2	220	25.3.2012 0:00:00	8	19360.00	Tourist	Sunny	14.70	24.73
74	CZ	1	240	27.3.2012 0:00:00	2	2420.00	Tourist	Sunny	13.20	24.61
58	CZ	4	130	28.3.2012 0:00:00	14	67760.00	Tourist	Cloudy	14.00	24.61
60	GE	2	310	28.3.2012 0:00:00	14	33880.00	Tourist	Sunny	14.00	24.61
53	SK	1	220	28.3.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	14.00	24.61
58	SK	1	240	30.3.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	8.20	24.73
80	SK	2	230	31.3.2012 0:00:00	14	33880.00	Tourist	Sunny	6.80	24.73
75	SK	2	310	1.4.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	10.80	24.73
65	CZ	2	120	2.4.2012 0:00:00	7	16940.00	Business	Rain/Snow	12.90	24.77
35	SK	4	130	3.4.2012 0:00:00	1	4840.00	Business	Sunny	13.20	24.62
70	CZ	2	210	4.4.2012 0:00:00	1	2420.00	Tourist	Cloudy	13.40	24.60
28	CZ	4	220	4.4.2012 0:00:00	62	300080.00	Business	Rain/Snow	13.40	24.60
69	SK	2	220	5.4.2012 0:00:00	14	33880.00	Tourist	Sunny	13.60	24.70
66	CZ	4	240	6.4.2012 0:00:00	2	9680.00	Tourist	Rain/Snow	6.60	24.63
56	CZ	2	210	6.4.2012 0:00:00	14	33880.00	Tourist	Sunny	6.60	24.63
64	GE	1	210	7.4.2012 0:00:00	6	7260.00	Tourist	Rain/Snow	10.90	24.63
50	CZ	2	220	10.4.2012 0:00:00	1	2420.00	Tourist	Rain/Snow	3.30	24.80
18	AT	1	310	12.4.2012 0:00:00	7	8470.00	Tourist	Sunny	8.50	24.81
37	GE	4	120	12.4.2012 0:00:00	14	67760.00	Tourist	Cloudy	8.50	24.81
65	SK	2	110	13.4.2012 0:00:00	2	4840.00	Tourist	Sunny	11.80	24.75
69	CZ	1	110	14.4.2012 0:00:00	14	16940.00	Tourist	Sunny	14.90	24.75
70	GE	1	210	14.4.2012 0:00:00	2	2420.00	Tourist	Cloudy	14.90	24.75
54	CZ	1	130	15.4.2012 0:00:00	9	10890.00	Tourist	Cloudy	19.60	24.75
68	CZ	1	210	15.4.2012 0:00:00	7	8470.00	Tourist	Sunny	19.60	24.75
73	GE	4	230	17.4.2012 0:00:00	14	67760.00	Tourist	Cloudy	8.50	24.81
78	PL	2	320	18.4.2012 0:00:00	7	16940.00	Tourist	Sunny	14.00	24.81
72	SK	2	130	19.4.2012 0:00:00	2	4840.00	Business	Cloudy	12.00	24.84
62	PL	1	110	20.4.2012 0:00:00	21	25410.00	Tourist	Sunny	6.60	24.91
33	CZ	1	220	21.4.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	6.30	24.91
20	SK	2	320	21.4.2012 0:00:00	21	50820.00	Tourist	Cloudy	6.30	24.91
81	SK	2	320	25.4.2012 0:00:00	14	33880.00	Tourist	Cloudy	12.30	24.81
41	CZ	1	210	26.4.2012 0:00:00	1	1210.00	Business	Rain/Snow	8.90	24.75
40	CZ	4	240	27.4.2012 0:00:00	14	67760.00	Tourist	Cloudy	6.30	24.87
77	CZ	1	310	27.4.2012 0:00:00	14	16940.00	Tourist	Cloudy	6.30	24.87
80	SK	4	120	28.4.2012 0:00:00	21	101640.00	Tourist	Sunny	7.60	24.87
20	CZ	1	230	30.4.2012 0:00:00	21	25410.00	Tourist	Cloudy	12.70	24.86
57	SK	1	240	5.5.2012 0:00:00	14	16940.00	Tourist	Rain/Snow	20.40	25.02
71	CZ	1	210	7.5.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	14.70	25.03
55	GE	1	240	7.5.2012 0:00:00	7	8470.00	Business	Cloudy	14.70	25.03
23	SK	2	120	7.5.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	14.70	25.03
45	PL	1	220	7.5.2012 0:00:00	4	4840.00	Tourist	Rain/Snow	14.70	25.03
74	SK	2	320	7.5.2012 0:00:00	21	50820.00	Tourist	Rain/Snow	14.70	25.03
36	CZ	2	220	8.5.2012 0:00:00	4	9680.00	Business	Cloudy	15.70	25.03
50	PL	1	210	8.5.2012 0:00:00	2	2420.00	Tourist	Sunny	15.70	25.03
66	CZ	1	310	10.5.2012 0:00:00	2	2420.00	Tourist	Cloudy	13.40	25.16
70	CZ	2	210	10.5.2012 0:00:00	7	16940.00	Tourist	Sunny	13.40	25.16
19	AT	2	130	11.5.2012 0:00:00	2	4840.00	Tourist	Sunny	17.10	25.25
72	SK	2	240	13.5.2012 0:00:00	14	33880.00	Tourist	Cloudy	15.30	25.25
38	PL	1	230	14.5.2012 0:00:00	2	2420.00	Tourist	Sunny	16.90	25.40
24	CZ	4	120	15.5.2012 0:00:00	2	9680.00	Tourist	Cloudy	20.40	25.52
79	CZ	4	230	16.5.2012 0:00:00	1	4840.00	Tourist	Cloudy	13.60	25.47
55	SK	2	230	16.5.2012 0:00:00	8	19360.00	Tourist	Rain/Snow	13.60	25.47
48	SK	1	210	16.5.2012 0:00:00	21	25410.00	Tourist	Rain/Snow	13.60	25.47
32	CZ	4	210	16.5.2012 0:00:00	14	67760.00	Tourist	Rain/Snow	13.60	25.47
18	CZ	1	310	16.5.2012 0:00:00	21	25410.00	Tourist	Cloudy	13.60	25.47
57	AT	1	210	16.5.2012 0:00:00	14	16940.00	Tourist	Sunny	13.60	25.47
38	SK	1	120	19.5.2012 0:00:00	14	16940.00	Tourist	Cloudy	23.70	25.32
38	CZ	1	240	19.5.2012 0:00:00	1	1210.00	Tourist	Sunny	23.70	25.32
41	CZ	1	310	20.5.2012 0:00:00	21	25410.00	Tourist	Sunny	23.30	25.32
66	GE	2	310	20.5.2012 0:00:00	1	2420.00	Tourist	Rain/Snow	23.30	25.32
46	CZ	1	120	20.5.2012 0:00:00	14	16940.00	Tourist	Sunny	23.30	25.32
53	CZ	2	220	20.5.2012 0:00:00	4	9680.00	Tourist	Rain/Snow	23.30	25.32
28	SK	3	130	22.5.2012 0:00:00	7	25410.00	Tourist	Sunny	15.60	25.28
76	SK	2	110	22.5.2012 0:00:00	2	4840.00	Business	Cloudy	15.60	25.28
38	CZ	2	120	22.5.2012 0:00:00	14	33880.00	Tourist	Cloudy	15.60	25.28
28	CZ	4	210	22.5.2012 0:00:00	7	33880.00	Tourist	Rain/Snow	15.60	25.28
65	CZ	1	320	23.5.2012 0:00:00	2	2420.00	Tourist	Sunny	18.90	25.50
64	CZ	1	210	23.5.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	18.90	25.50
63	SK	2	130	24.5.2012 0:00:00	14	33880.00	Tourist	Sunny	25.40	25.39
81	SK	2	130	26.5.2012 0:00:00	7	16940.00	Tourist	Sunny	21.30	25.43
20	SK	1	210	27.5.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	28.30	25.43
26	CZ	2	310	27.5.2012 0:00:00	2	4840.00	Tourist	Cloudy	28.30	25.43
65	GE	2	220	28.5.2012 0:00:00	21	50820.00	Tourist	Sunny	27.60	25.31
62	CZ	4	110	29.5.2012 0:00:00	1	4840.00	Tourist	Rain/Snow	21.50	25.50
60	PL	3	240	29.5.2012 0:00:00	4	14520.00	Business	Sunny	21.50	25.50
59	CZ	1	310	29.5.2012 0:00:00	1	1210.00	Business	Rain/Snow	21.50	25.50
45	CZ	1	310	30.5.2012 0:00:00	2	2420.00	Tourist	Cloudy	14.90	25.66
23	CZ	1	210	30.5.2012 0:00:00	2	2420.00	Tourist	Cloudy	14.90	25.66
48	SK	1	220	31.5.2012 0:00:00	4	4840.00	Tourist	Sunny	8.80	25.70
76	GE	1	220	1.6.2012 0:00:00	14	16940.00	Tourist	Cloudy	12.70	25.79
43	GE	1	110	2.6.2012 0:00:00	7	8470.00	Tourist	Sunny	16.70	25.79
37	SK	2	120	2.6.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	16.70	25.79
36	CZ	2	310	3.6.2012 0:00:00	21	50820.00	Tourist	Sunny	16.80	25.79
75	CZ	3	120	3.6.2012 0:00:00	2	7260.00	Tourist	Sunny	16.80	25.79
71	SK	3	220	5.6.2012 0:00:00	14	50820.00	Tourist	Rain/Snow	16.80	25.72
77	CZ	1	120	5.6.2012 0:00:00	2	2420.00	Tourist	Sunny	16.80	25.72
66	CZ	2	320	5.6.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	16.80	25.72
48	CZ	1	130	6.6.2012 0:00:00	3	3630.00	Tourist	Sunny	17.80	25.57
42	AT	2	310	7.6.2012 0:00:00	21	50820.00	Business	Rain/Snow	19.00	25.32
64	SK	3	130	7.6.2012 0:00:00	21	76230.00	Tourist	Cloudy	19.00	25.32
28	CZ	1	210	7.6.2012 0:00:00	7	8470.00	Tourist	Rain/Snow	19.00	25.32
72	SK	2	220	7.6.2012 0:00:00	2	4840.00	Business	Sunny	19.00	25.32
29	CZ	1	130	8.6.2012 0:00:00	6	7260.00	Tourist	Rain/Snow	22.10	25.48
53	CZ	2	240	9.6.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	23.60	25.48
21	SK	1	220	9.6.2012 0:00:00	2	2420.00	Tourist	Sunny	23.60	25.48
33	GE	2	130	10.6.2012 0:00:00	7	16940.00	Tourist	Cloudy	25.80	25.48
52	CZ	1	130	12.6.2012 0:00:00	7	8470.00	Tourist	Rain/Snow	19.20	25.68
80	CZ	3	210	12.6.2012 0:00:00	21	76230.00	Tourist	Sunny	19.20	25.68
45	GE	1	230	12.6.2012 0:00:00	2	2420.00	Tourist	Sunny	19.20	25.68
57	GE	2	130	13.6.2012 0:00:00	2	4840.00	Business	Cloudy	16.80	25.58
27	CZ	1	230	14.6.2012 0:00:00	21	25410.00	Tourist	Rain/Snow	21.90	25.54
31	PL	1	210	16.6.2012 0:00:00	14	16940.00	Tourist	Sunny	25.80	25.59
63	AT	1	130	16.6.2012 0:00:00	21	25410.00	Tourist	Rain/Snow	25.80	25.59
30	PL	2	310	17.6.2012 0:00:00	2	4840.00	Tourist	Cloudy	23.60	25.59
50	PL	3	110	17.6.2012 0:00:00	7	25410.00	Tourist	Sunny	23.60	25.59
44	SK	2	120	19.6.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	28.20	25.49
45	GE	2	110	20.6.2012 0:00:00	4	9680.00	Tourist	Rain/Snow	27.80	25.45
40	CZ	1	230	21.6.2012 0:00:00	7	8470.00	Tourist	Sunny	23.80	25.68
68	AT	2	240	21.6.2012 0:00:00	62	150040.00	Tourist	Rain/Snow	23.80	25.68
57	PL	2	130	22.6.2012 0:00:00	1	2420.00	Tourist	Sunny	22.20	25.77
54	GE	1	230	23.6.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	22.90	25.77
69	CZ	1	120	23.6.2012 0:00:00	7	8470.00	Tourist	Rain/Snow	22.90	25.77
77	CZ	2	240	24.6.2012 0:00:00	21	50820.00	Business	Cloudy	24.50	25.77
79	GE	2	120	24.6.2012 0:00:00	1	2420.00	Business	Rain/Snow	24.50	25.77
52	GE	3	110	26.6.2012 0:00:00	14	50820.00	Tourist	Rain/Snow	20.70	25.96
50	GE	2	240	27.6.2012 0:00:00	3	7260.00	Business	Cloudy	24.30	25.91
28	SK	2	130	28.6.2012 0:00:00	1	2420.00	Tourist	Cloudy	29.60	25.81
69	SK	2	130	2.7.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	28.20	25.52
60	CZ	1	120	3.7.2012 0:00:00	2	2420.00	Tourist	Sunny	28.20	25.56
59	GE	2	310	3.7.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	28.20	25.56
56	PL	3	110	3.7.2012 0:00:00	1	3630.00	Tourist	Cloudy	28.20	25.56
32	CZ	1	130	5.7.2012 0:00:00	14	16940.00	Tourist	Cloudy	28.30	25.50
39	AT	1	120	6.7.2012 0:00:00	14	16940.00	Tourist	Sunny	31.10	25.50
53	AT	4	230	7.7.2012 0:00:00	21	101640.00	Tourist	Rain/Snow	28.20	25.50
59	GE	1	120	7.7.2012 0:00:00	7	8470.00	Tourist	Rain/Snow	28.20	25.50
50	PL	1	120	8.7.2012 0:00:00	2	2420.00	Tourist	Sunny	25.10	25.50
41	SK	2	320	9.7.2012 0:00:00	14	33880.00	Tourist	Cloudy	24.60	25.54
41	CZ	1	320	9.7.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	24.60	25.54
59	CZ	3	240	9.7.2012 0:00:00	2	7260.00	Tourist	Sunny	24.60	25.54
65	GE	3	320	9.7.2012 0:00:00	7	25410.00	Tourist	Cloudy	24.60	25.54
73	CZ	2	110	9.7.2012 0:00:00	1	2420.00	Tourist	Sunny	24.60	25.54
40	CZ	1	110	11.7.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	23.80	25.40
39	SK	2	120	13.7.2012 0:00:00	2	4840.00	Tourist	Sunny	25.20	25.40
51	CZ	2	240	14.7.2012 0:00:00	1	2420.00	Tourist	Sunny	25.80	25.40
68	SK	2	130	15.7.2012 0:00:00	21	50820.00	Business	Sunny	26.80	25.40
55	SK	1	210	16.7.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	28.30	25.39
64	CZ	1	240	16.7.2012 0:00:00	7	8470.00	Tourist	Cloudy	28.30	25.39
18	CZ	4	310	16.7.2012 0:00:00	1	4840.00	Tourist	Rain/Snow	28.30	25.39
54	SK	1	320	17.7.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	30.00	25.34
70	SK	2	130	18.7.2012 0:00:00	21	50820.00	Tourist	Sunny	27.70	25.28
58	SK	1	120	18.7.2012 0:00:00	21	25410.00	Tourist	Cloudy	27.70	25.28
69	GE	1	130	19.7.2012 0:00:00	2	2420.00	Tourist	Sunny	24.40	25.33
47	GE	1	230	22.7.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	25.50	25.57
54	CZ	1	130	24.7.2012 0:00:00	8	9680.00	Business	Cloudy	24.90	25.54
68	PL	2	220	24.7.2012 0:00:00	7	16940.00	Tourist	Cloudy	24.90	25.54
80	GE	2	320	25.7.2012 0:00:00	93	225060.00	Business	Rain/Snow	28.50	25.56
33	CZ	1	240	25.7.2012 0:00:00	9	10890.00	Business	Rain/Snow	28.50	25.56
21	PL	1	310	25.7.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	28.50	25.56
43	SK	2	110	26.7.2012 0:00:00	7	16940.00	Tourist	Sunny	25.10	25.50
36	CZ	1	230	27.7.2012 0:00:00	21	25410.00	Tourist	Sunny	23.00	25.31
69	SK	2	220	28.7.2012 0:00:00	2	4840.00	Tourist	Cloudy	23.40	25.31
32	CZ	1	310	29.7.2012 0:00:00	7	8470.00	Business	Rain/Snow	23.20	25.31
33	CZ	1	120	29.7.2012 0:00:00	21	25410.00	Business	Cloudy	23.20	25.31
22	SK	2	110	30.7.2012 0:00:00	1	2420.00	Tourist	Cloudy	27.10	25.25
74	SK	3	310	30.7.2012 0:00:00	2	7260.00	Tourist	Rain/Snow	27.10	25.25
30	GE	1	110	30.7.2012 0:00:00	21	25410.00	Tourist	Cloudy	27.10	25.25
61	PL	1	110	31.7.2012 0:00:00	18	21780.00	Tourist	Cloudy	24.90	25.25
57	SK	3	210	1.8.2012 0:00:00	2	7260.00	Tourist	Cloudy	24.20	25.36
46	GE	2	320	5.8.2012 0:00:00	7	16940.00	Business	Cloudy	25.60	25.28
68	GE	2	120	7.8.2012 0:00:00	1	2420.00	Tourist	Rain/Snow	24.00	25.12
36	CZ	1	320	8.8.2012 0:00:00	7	8470.00	Tourist	Rain/Snow	23.40	25.17
56	PL	2	310	8.8.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	23.40	25.17
76	SK	3	210	8.8.2012 0:00:00	1	3630.00	Tourist	Rain/Snow	23.40	25.17
