WDate	WSky	wwind_speed_gust_kmh	wwind_speed_avg_kmh	wwind_dir_deg	wsolar_rad_MJ	wtemp_max_C	wtemp_min_C	wtemp_avg_C	wprecip_mm
23.1.2012	Rain/Snow	55.8323	24.7786	242.2	1.46	7.1	-2	1.8	8.128
24.1.2012	Cloudy	37.3288	13.5156	263.6	10.51	1.1	-6.2	-2.1	0
25.1.2012	Cloudy	22.2042	5.7924	107.3	3.97	1.5	-7	-2.3	0
26.1.2012	Cloudy	25.1004	5.9533	160.3	3.96	4.7	0.7	1.2	0.254
27.1.2012	Cloudy	28.3184	10.7803	284	10.63	4.7	-0.3	1.7	1.016
28.1.2012	Rain/Snow	48.2700	22.0433	260.4	12.61	0.3	-4.9	-2.1	0.508
29.1.2012	Rain/Snow	45.6956	13.1938	260.2	9.84	-0.9	-10.3	-3.8	0.508
30.1.2012	Cloudy	36.3634	13.6765	186.4	8.14	11.2	-8.6	2.4	0
31.1.2012	Sunny	41.8340	16.09	233.8	7.07	13.7	3.3	8.2	0.254
1.2.2012	Sunny	25.1004	5.7924	281.8	9.25	7	-1.9	2.8	0
2.2.2012	Sunny	16.0900	5.3097	187.7	4.28	3.4	-1.7	0.7	0
3.2.2012	Cloudy	25.7440	9.4931	71.6	4.14	4.2	-0.4	0.7	0
4.2.2012	Cloudy	31.2146	10.7803	58.1	7.05	6.2	-2.4	0.8	0
5.2.2012	Cloudy	24.7786	6.436	151.4	11.24	7.9	-3.2	0.8	0.254
6.2.2012	Cloudy	29.9274	16.5727	268.3	2.84	-0.4	-2.2	-1.4	0.508
25.3.2012	Cloudy	37.6506	9.1713	112.3	19.27	23.3	6.6	14.7	0
26.3.2012	Cloudy	42.7994	17.0554	71	12.54	7.7	2.6	5	0
27.3.2012	Cloudy	51.0053	24.7786	185.9	18.36	22.9	4.1	13.2	0
28.3.2012	Cloudy	56.9586	18.0208	259.8	23.29	19.1	6.9	14	0
29.3.2012	Cloudy	28.9620	11.7457	66.7	19.58	10.6	2.9	6.1	0
30.3.2012	Cloudy	27.6748	11.7457	91.9	12.62	13.7	3.9	8.2	9.906
31.3.2012	Cloudy	23.0087	9.9758	106.4	13.36	11	3.1	6.8	0
1.4.2012	Cloudy	35.2371	11.4239	81.6	11.46	16.5	7.3	10.8	8.128
2.4.2012	Sunny	32.0191	13.5156	95.2	23	18.3	7.7	12.9	0
3.4.2012	Sunny	36.0416	11.5848	78.6	22.28	23.6	9.3	13.2	0
4.4.2012	Rain/Snow	39.5814	17.2163	55.7	24.81	14.8	6.6	13.4	0
5.4.2012	Rain/Snow	37.4897	16.5727	48	24.77	10.2	1.8	13.6	0
6.4.2012	Rain/Snow	32.8236	10.2976	66.2	26.53	12.8	0.2	6.6	0
7.4.2012	Cloudy	44.4084	12.2284	167.2	20.45	18.5	0.3	10.9	0
8.4.2012	Cloudy	50.6835	13.9983	262.4	24.48	18.3	3.9	11.2	0.254
9.4.2012	Cloudy	74.4967	20.5952	265.4	26.55	16.4	3.2	10.8	0.254
10.4.2012	Rain/Snow	52.7752	13.9983	251.3	24	8.7	-2.2	3.3	0
11.4.2012	Sunny	24.4568	8.2059	161.8	26.68	13	-2	5.2	0
12.4.2012	Cloudy	25.9049	6.5969	174.4	26.47	17.3	-2.5	8.5	0
13.4.2012	Cloudy	43.7648	16.7336	164.3	14.63	17	4.4	11.8	0
14.4.2012	Cloudy	27.8357	10.9412	192.4	7.26	19.2	10.7	14.9	3.302
15.4.2012	Cloudy	58.4067	23.1696	200.7	9.89	23.4	14.8	19.6	26.67
16.4.2012	Cloudy	73.2095	29.6056	256.5	12.86	19.1	3.8	10.9	0.254
17.4.2012	Cloudy	27.0312	5.6315	187.9	27.16	14.8	2	8.5	0
18.4.2012	Sunny	47.3046	15.2855	199.6	18.58	21.7	4.5	14	1.524
19.4.2012	Rain/Snow	32.9845	10.1367	98.9	17.48	18.1	6.1	12	0
20.4.2012	Rain/Snow	42.4776	15.7682	76.9	4.73	8.5	2.6	6.6	3.048
21.4.2012	Rain/Snow	21.5606	8.8495	45.3	24.13	11.7	0.3	6.3	0
22.4.2012	Rain/Snow	45.3738	14.3201	47.6	26.87	10.8	3.4	7	0
23.4.2012	Sunny	46.9828	13.6765	229.6	28.12	15.3	2.1	9.2	0
24.4.2012	Sunny	27.1921	5.6315	215.2	17.58	16.6	1.2	10	0
25.4.2012	Rain/Snow	28.1575	8.6886	105.1	9.62	18.6	5.7	12.3	0.762
26.4.2012	Cloudy	37.3288	14.3201	58.9	18.52	14.9	0.9	8.9	0
27.4.2012	Cloudy	33.1454	12.0675	70	23.66	11.6	-0.2	6.3	0
28.4.2012	Cloudy	37.9724	15.2855	85.2	7.74	10.2	5.7	7.6	7.62
29.4.2012	Cloudy	32.3409	10.7803	78	11.95	13.6	4.8	9.1	10.668
30.4.2012	Sunny	20.4343	8.045	232.2	5.03	15.6	10.1	12.7	0.508
1.5.2012	Cloudy	26.7094	9.9758	132.1	10	16.6	7.4	13.6	3.556
2.5.2012	Cloudy	62.1074	11.9066	195.7	14.3	25.3	14.8	19.9	0.508
3.5.2012	Rain/Snow	40.8686	15.6073	220.8	21.95	29.1	16.9	20.1	2.286
4.5.2012	Rain/Snow	41.1904	10.2976	109.9	24.73	24.4	13.7	20.3	6.858
5.5.2012	Rain/Snow	27.9966	10.6194	59.1	12.8	18.6	12.2	20.4	0.508
6.5.2012	Rain/Snow	35.0762	9.8149	83.8	8.92	21.2	12.2	15.7	19.812
7.5.2012	Rain/Snow	36.0416	7.7232	197.4	8.18	17.8	11.6	14.7	15.748
8.5.2012	Cloudy	37.0070	14.3201	299.4	25.15	20.8	10.9	15.7	0
9.5.2012	Cloudy	33.4672	9.654	253	20.84	17.4	6.8	12	0
10.5.2012	Cloudy	26.7094	6.9187	119.7	31.13	20.7	6	13.4	0
7.2.2012	Sunny	36.0416	13.8374	67.7	3.06	1.4	-2.9	-0.8	0.254
8.2.2012	Sunny	26.3876	10.4585	227.3	11.43	1.6	-5.6	-2.3	0
9.2.2012	Sunny	34.7544	15.2855	242.2	14.21	1.4	-8.4	-2.7	0
10.2.2012	Cloudy	54.3842	19.1471	228.4	1.79	1.4	-11.6	-3.4	1.778
11.2.2012	Cloudy	40.5468	18.0208	324.6	14.91	-5.7	-13.4	-9.7	0
12.2.2012	Rain/Snow	39.2596	16.5727	287.5	14.71	2.1	-9.8	-4.9	0
13.2.2012	Sunny	36.6852	12.3893	203.6	3.91	1.9	-11.4	-3.8	1.27
14.2.2012	Rain/Snow	30.4101	11.9066	235.2	4.21	2	-2.5	-0.1	0.508
15.2.2012	Rain/Snow	31.8582	12.0675	189.8	5.29	5.2	-0.7	2.7	4.826
16.2.2012	Sunny	42.7994	12.2284	286.9	13.85	8.1	0.3	3.4	1.016
17.2.2012	Cloudy	39.9032	13.5156	239.8	11.82	9.5	-4.8	2.3	0
18.2.2012	Sunny	32.8236	10.7803	128.3	15.37	4.8	-5.5	0.4	0
19.2.2012	Rain/Snow	23.4914	6.5969	59.5	16.47	4.5	-6.1	-1.6	0
20.2.2012	Rain/Snow	33.6281	12.5502	133.8	15.62	6.2	-8.2	0.1	0
21.2.2012	Rain/Snow	46.1783	15.4464	225.1	3.93	5.8	0.4	2.6	4.572
22.2.2012	Rain/Snow	20.2734	8.5277	229.4	5.79	6.3	-1.7	2.4	0.254
23.2.2012	Rain/Snow	31.2146	8.5277	91.4	1.53	3.5	-2.7	0.4	10.668
24.2.2012	Rain/Snow	47.3046	22.8478	245.6	7.93	1.3	-5.2	-0.9	10.414
25.2.2012	Cloudy	37.0070	14.8028	259.9	17.8	-3.8	-11.1	-6.8	0
26.2.2012	Sunny	50.0399	17.3772	182.4	17.01	11.1	-10.2	1.7	0
27.2.2012	Cloudy	44.4084	16.2509	264.7	14.44	2	-5.8	-0.9	0
28.2.2012	Cloudy	32.5018	11.263	120	7.58	6.7	-6.8	1.4	3.048
29.2.2012	Cloudy	65.3254	28.6402	220.1	14.5	13.4	0.8	7.1	6.096
1.3.2012	Cloudy	35.0762	11.7457	222.6	2.86	3.9	0.8	2.5	0.254
2.3.2012	Sunny	51.3271	19.1471	147.9	2.09	3.8	0.5	2.1	8.636
3.3.2012	Cloudy	47.3046	23.0087	281	6.52	0.7	-1.9	2	0
4.3.2012	Sunny	26.3876	12.2284	308.7	13.62	-0.3	-5.6	1.9	0
5.3.2012	Cloudy	31.0537	10.4585	258.9	17.32	2.4	-6.9	1.7	0
6.3.2012	Cloudy	65.0036	27.0312	195.2	18.15	18.9	-0.6	9.7	0
7.3.2012	Cloudy	65.4863	33.4672	204.2	8.06	18.9	10.9	14.9	0.254
8.3.2012	Cloudy	51.6489	22.8478	291.6	16.03	15.9	0.8	4.3	6.35
9.3.2012	Cloudy	37.8115	13.1938	253.9	20.32	4.2	-2.7	0.5	0
10.3.2012	Rain/Snow	53.0970	20.7561	198.7	19.96	15.1	-3	5.7	0
11.3.2012	Cloudy	35.3980	13.9983	195	16.33	19.6	-1.2	10.7	0.508
12.3.2012	Sunny	48.5918	20.1125	226.4	5.69	16.6	10.2	13.5	13.716
13.3.2012	Sunny	27.1921	6.7578	236.2	20.29	20.8	5.7	12.9	0.254
14.3.2012	Cloudy	45.5347	11.9066	220.2	18.27	26.3	5.3	16.7	0
15.3.2012	Cloudy	32.8236	9.4931	220.9	17.6	26.9	12.3	18.6	0
16.3.2012	Cloudy	33.3063	9.654	168	18.61	27.2	8.4	18.3	0
17.3.2012	Cloudy	33.1454	11.5848	186.6	19.33	26.9	13.3	19.7	0
18.3.2012	Cloudy	31.3755	12.2284	190.9	18.9	26.3	12.7	19.9	0
19.3.2012	Rain/Snow	38.7769	13.8374	178.3	9.21	25.6	16.7	20.2	5.334
20.3.2012	Rain/Snow	51.0053	19.4689	184.6	20.64	28.3	17.9	22.7	0
21.3.2012	Cloudy	34.1108	11.5848	155	17.74	28.4	16.2	22.7	0
22.3.2012	Cloudy	49.5572	9.0104	121.5	16.64	27.4	13.9	19.8	7.112
23.3.2012	Cloudy	41.0295	9.0104	95.6	8.52	19.9	10.6	16	8.382
24.3.2012	Cloudy	21.3997	6.2751	84.9	8.33	17.7	11	13.9	0
11.5.2012	Sunny	37.4897	12.3893	201.5	28.58	25.4	5.2	17.1	0
12.5.2012	Sunny	23.1696	7.5623	99.2	7.32	17.6	10.9	14.9	0.508
13.5.2012	Cloudy	29.4447	9.1713	65.1	31.12	21.6	6.6	15.3	0
14.5.2012	Sunny	22.2042	4.5052	222.7	30.51	26.7	4.6	16.9	0
15.5.2012	Cloudy	43.9257	15.1246	221	29.62	29.3	8.4	20.4	0
16.5.2012	Cloudy	39.5814	12.2284	66.2	31.19	18.9	6.4	13.6	0
17.5.2012	Cloudy	31.5364	8.3668	104	28.85	23.1	4.7	15.4	0
18.5.2012	Cloudy	29.1229	9.3322	156.6	30.21	28.6	9.3	20.4	0
19.5.2012	Cloudy	40.8686	7.8841	179.8	28.56	32.4	13.1	23.7	0
20.5.2012	Rain/Snow	57.6022	14.1592	235.3	25.2	32.6	16.1	23.3	4.826
21.5.2012	Rain/Snow	33.3063	11.263	117.4	22.52	20.5	10.3	15.3	0
22.5.2012	Cloudy	22.2042	7.2405	62.8	31.58	22.9	8.2	15.6	0
23.5.2012	Rain/Snow	29.6056	9.3322	154.5	30.69	26.9	6.3	18.9	0
24.5.2012	Sunny	56.7977	22.8478	183.2	30.07	31.4	17	25.4	0
25.5.2012	Sunny	42.1558	10.9412	152.5	28.97	27.8	16.1	21.5	0
26.5.2012	Sunny	40.8686	13.5156	73.7	20.39	29.6	16.5	21.3	0
27.5.2012	Cloudy	33.3063	13.0329	180.9	29.79	35.5	19.2	28.3	0
28.5.2012	Sunny	56.3150	21.5606	223.7	25.06	32.9	21.9	27.6	0
29.5.2012	Rain/Snow	52.6143	15.2855	293.9	27.24	28.1	12.6	21.5	0
30.5.2012	Cloudy	35.5589	10.1367	209.4	28.27	20.2	9.6	14.9	0
31.5.2012	Sunny	31.5364	12.872	44.5	3.79	10.9	7	8.8	32.766
1.6.2012	Cloudy	34.5935	11.4239	250.6	21.22	18.8	7.8	12.7	0.508
2.6.2012	Rain/Snow	37.9724	14.8028	263.4	30.38	22.8	9	16.7	0
3.6.2012	Sunny	31.0537	10.6194	271.1	27.04	26.7	10	16.8	0
4.6.2012	Sunny	22.8478	7.8841	95.6	29.62	24.9	13.3	16.8	0
5.6.2012	Rain/Snow	29.9274	9.9758	48.9	32.13	21.5	11.8	16.8	0.254
6.6.2012	Sunny	23.0087	6.9187	42.1	30.95	24.8	9.7	17.8	0.254
7.6.2012	Cloudy	23.8132	4.0225	133.1	32.4	27.8	7.2	19	0
8.6.2012	Rain/Snow	28.8011	8.6886	217.8	31.04	29.6	11.7	22.1	0
9.6.2012	Rain/Snow	32.1800	10.1367	220.9	31.62	30.9	13.3	23.6	0
10.6.2012	Cloudy	42.6385	13.5156	198.8	30.62	32	17.3	25.8	0
11.6.2012	Cloudy	35.8807	15.2855	231.4	22.18	30.3	20.1	25.1	0
12.6.2012	Rain/Snow	41.0295	10.4585	272.4	32.82	24.3	11.2	19.2	0
13.6.2012	Cloudy	27.3530	8.5277	77.5	24.55	22.5	11.7	16.8	0
14.6.2012	Rain/Snow	32.8236	11.5848	128.8	29.3	29.9	11.3	21.9	0.254
15.6.2012	Rain/Snow	31.2146	10.7803	173.5	30.56	33.7	14.2	25.9	0
16.6.2012	Rain/Snow	47.3046	14.481	214	20.23	32.6	19.2	25.8	10.16
17.6.2012	Cloudy	23.9741	9.1713	234.4	30.3	28.8	19.2	23.6	2.794
18.6.2012	Cloudy	60.9811	22.8478	211	30.05	32.7	20.4	27.3	0
19.6.2012	Rain/Snow	41.6731	19.308	210.8	29.38	33.3	23.4	28.2	0
20.6.2012	Rain/Snow	45.8565	18.8253	207.9	30.51	33.2	22.4	27.8	0
21.6.2012	Rain/Snow	32.3409	11.5848	280.4	17.53	28.6	17.7	23.8	0.254
22.6.2012	Sunny	28.8011	6.7578	291.9	31.01	28.8	13.7	22.2	0
23.6.2012	Rain/Snow	21.2388	3.8616	148.2	22.55	29.5	14.5	22.9	0
24.6.2012	Cloudy	27.0312	7.2405	150.3	25.63	32.4	15.7	24.5	0
25.6.2012	Cloudy	35.0762	14.1592	48.7	33.61	23.7	13.8	19.7	0
26.6.2012	Rain/Snow	19.3080	5.9533	140.4	31.49	28.7	11.7	20.7	0.254
27.6.2012	Cloudy	41.5122	13.9983	174.6	31.45	32.7	11.5	24.3	0
28.6.2012	Cloudy	33.7890	11.4239	203.2	27.71	36.6	21	29.6	0
29.6.2012	Cloudy	85.2770	8.6886	176.1	18.31	30.1	20	25.5	8.128
30.6.2012	Cloudy	24.4568	7.7232	236.8	26.16	30.8	19.4	24.9	0
1.7.2012	Cloudy	93.1611	5.6315	188.2	24.32	32.9	17.9	25.4	16.764
2.7.2012	Rain/Snow	30.2492	5.9533	183.8	28.81	34.6	20.6	28.2	0
3.7.2012	Cloudy	29.7665	9.4931	238.9	26.07	34.3	21.4	28.2	0
4.7.2012	Cloudy	34.7544	9.9758	244.1	29.78	36.8	22.8	28.3	0
5.7.2012	Cloudy	29.1229	9.0104	245.8	29.08	36.8	21.8	28.3	0
6.7.2012	Sunny	25.4222	8.045	269.6	29.53	37.4	24.2	31.1	0
7.7.2012	Rain/Snow	31.5364	10.4585	161.4	26.16	38.1	22.4	28.2	0
8.7.2012	Sunny	38.9378	11.5848	45.2	29.64	30.1	18.6	25.1	0
9.7.2012	Cloudy	28.9620	6.7578	157.2	24.26	32.4	16.2	24.6	0.254
10.7.2012	Cloudy	26.3876	9.0104	46.8	20.47	29	16.7	23.8	0
11.7.2012	Rain/Snow	24.2959	8.8495	63.9	27.72	32.1	19.3	23.8	0
12.7.2012	Rain/Snow	26.3876	9.3322	99.6	24.53	32.8	17.4	25.8	0
13.7.2012	Sunny	27.5139	7.0796	163.6	25.19	33.2	18.7	25.2	0
14.7.2012	Sunny	32.6627	8.8495	236.7	25.83	31.6	21.3	25.8	0
15.7.2012	Sunny	29.7665	6.9187	250.9	29.51	34	18.6	26.8	0
16.7.2012	Cloudy	32.6627	9.9758	223.6	29.47	35.3	24.2	28.3	0
17.7.2012	Rain/Snow	37.4897	11.1021	254.5	27.07	36.4	23.2	30	0
18.7.2012	Cloudy	58.0849	8.8495	105.4	22.14	36.4	21	27.7	18.288
19.7.2012	Sunny	34.4326	13.0329	113.7	16.18	29.8	20.4	24.4	0.508
20.7.2012	Sunny	26.8703	10.7803	73.6	27.12	28.3	16.7	23.1	0
21.7.2012	Sunny	22.6869	6.2751	256.4	23.18	30.1	15.1	23.8	0
22.7.2012	Rain/Snow	25.4222	7.5623	216.4	12.83	31.8	18.6	25.5	0.508
23.7.2012	Rain/Snow	32.0191	10.9412	240.9	20.51	33.3	23.9	28.5	0
24.7.2012	Cloudy	74.8185	7.5623	71.8	15.85	28.9	20.4	24.9	17.526
25.7.2012	Rain/Snow	41.9949	13.9983	198.7	26.79	36.2	21.3	28.5	0
26.7.2012	Sunny	35.2371	11.1021	241.4	14.85	31.3	19.2	25.1	0.762
27.7.2012	Sunny	36.5243	10.1367	212.2	25.71	29.4	16.8	23	0.254
28.7.2012	Cloudy	23.1696	7.7232	139.7	26.64	30.1	17.3	23.4	0
29.7.2012	Cloudy	24.6177	5.6315	141.9	19.69	29.6	14.6	23.2	0
30.7.2012	Cloudy	24.1350	7.5623	212.7	27.31	32.9	20.7	27.1	0
31.7.2012	Cloudy	38.7769	6.5969	164.5	25.36	31.6	18.6	24.9	3.302
1.8.2012	Cloudy	20.7561	4.0225	192.7	27.49	31.7	16.5	24.2	0
2.8.2012	Cloudy	25.9049	6.9187	151.9	22.88	33.8	16.8	25.6	0
3.8.2012	Cloudy	25.9049	6.436	109.2	27.45	35.8	19.2	25.6	0
4.8.2012	Cloudy	81.0936	7.8841	175.8	18.51	34.3	20.4	25.6	35.814
5.8.2012	Cloudy	34.4326	9.1713	274.4	27.64	27.9	15.6	25.6	0
6.8.2012	Cloudy	26.0658	5.9533	194.5	29.15	28.2	12.9	20.9	0
7.8.2012	Rain/Snow	30.5710	8.5277	262.9	26.01	33.2	13.5	24	0
8.8.2012	Rain/Snow	20.5952	7.4014	47.1	13.83	29.5	18.7	23.4	0.254
9.8.2012	Cloudy	31.2146	9.9758	96.8	7.46	24.4	16.2	19.9	1.524
10.8.2012	Cloudy	42.3167	15.7682	151.5	23.23	24.9	12.3	19.1	0
11.8.2012	Cloudy	31.3755	7.4014	248.2	27.83	26.3	11.1	18.3	0
12.8.2012	Cloudy	22.6869	4.0225	155.9	12.34	23.8	10.7	18.2	0
13.8.2012	Cloudy	19.7907	3.7007	147	4.2	19.2	12.2	17	9.398
14.8.2012	Cloudy	23.1696	5.4706	262.5	24.18	28.2	10.8	20.1	0
15.8.2012	Cloudy	27.3530	7.2405	237.5	23.02	28.9	15.8	22.9	0
16.8.2012	Sunny	38.1333	11.1021	256	8.08	24.6	14.8	20.7	10.16
17.8.2012	Sunny	31.5364	6.7578	267.3	26.78	24.3	11.4	17.4	0
18.8.2012	Rain/Snow	17.6990	4.6661	150.5	25.06	25.1	9.3	17.9	0
19.8.2012	Cloudy	21.8824	5.4706	147.9	23.32	26.4	12.8	19.6	0
20.8.2012	Rain/Snow	25.4222	7.0796	111.5	21.98	25.8	12.6	18.6	8.636
21.8.2012	Rain/Snow	19.6298	3.3789	173.7	26.63	26.8	9.6	18.6	0
22.8.2012	Cloudy	24.9395	4.827	218.1	25.5	29.5	9.8	19.9	0
23.8.2012	Rain/Snow	32.9845	9.8149	196.2	21.77	33.2	17.3	25.5	0
24.8.2012	Cloudy	28.4793	9.0104	199.4	23.44	34.3	17.7	26.3	0
25.8.2012	Cloudy	31.5364	7.7232	186.9	21.7	33.8	15.8	25.7	0
26.8.2012	Cloudy	27.6748	8.045	171.6	4.5	24.1	18.4	21.4	14.986
27.8.2012	Rain/Snow	29.9274	7.7232	238	24.91	30.6	15.9	23.2	0
28.8.2012	Rain/Snow	28.4793	5.4706	92.4	24.17	30.8	13.2	21.9	0
29.8.2012	Rain/Snow	19.7907	5.4706	125.6	22.83	30	16.1	23.3	0
30.8.2012	Cloudy	32.6627	9.9758	203.2	23.72	32.4	16.9	24.4	0
31.8.2012	Cloudy	31.3755	9.3322	189.3	19.17	33.1	16.1	24.9	0
1.9.2012	Cloudy	31.0537	12.0675	56.9	5.28	23.6	20.8	22.2	0.254
2.9.2012	Cloudy	29.6056	10.7803	56.8	14.08	28.1	20.8	24.3	0
3.9.2012	Cloudy	20.2734	6.2751	87.7	21.66	32.8	20.1	24.2	0
4.9.2012	Sunny	61.1420	7.5623	157.8	19.95	34.9	17.6	24.2	8.89
5.9.2012	Cloudy	38.1333	8.6886	217.8	16.77	32	16.2	24.1	0.254
6.9.2012	Cloudy	24.1350	5.4706	239.3	23.26	30.2	17.7	23.4	0
7.9.2012	Cloudy	38.9378	9.3322	180.9	10.61	25.4	13.1	19.3	4.064
8.9.2012	Cloudy	35.7198	11.7457	293.9	22.96	23.4	10.8	16.4	2.286
9.9.2012	Cloudy	30.7319	9.654	147.7	21.93	22.9	8.9	15.9	0
10.9.2012	Rain/Snow	26.2267	5.6315	151.6	23.25	24.8	7.2	16.2	0
11.9.2012	Cloudy	43.2821	13.6765	224.3	22.63	29	8.2	19.7	0
12.9.2012	Rain/Snow	33.6281	10.1367	220.3	21.97	30.7	13.6	21.8	0
13.9.2012	Cloudy	32.5018	11.263	65.7	9.11	18.6	11.3	14.8	6.858
14.9.2012	Cloudy	27.8357	6.5969	215.8	21.43	24	8.3	15.8	0
15.9.2012	Sunny	18.3426	3.218	201.7	21.07	27.1	7.8	17.3	0
16.9.2012	Cloudy	30.4101	5.4706	215	18.96	25.3	6.9	15.9	0
17.9.2012	Cloudy	37.8115	8.6886	251.5	14.25	26.3	9.1	16.1	8.636
18.9.2012	Cloudy	36.6852	9.9758	328.5	18.23	16.7	3.6	10.9	0
19.9.2012	Cloudy	54.2233	17.8599	243.6	18.35	23.1	16.3	13.9	0
20.9.2012	Cloudy	42.3167	10.7803	285.8	17.79	22.3	7.4	14.9	0
21.9.2012	Rain/Snow	32.6627	6.436	194.9	4.68	15.1	5.6	10.1	4.572
22.9.2012	Rain/Snow	45.6956	13.8374	295.8	19.36	15.3	6.1	9.8	0.254
23.9.2012	Rain/Snow	30.7319	7.5623	274.1	20.83	16.4	1.6	9.1	0
24.9.2012	Sunny	40.5468	12.872	226.6	20.74	21.4	-0.9	11.3	0
25.9.2012	Cloudy	27.9966	7.0796	211.6	16.91	25.9	5.7	16.2	0
26.9.2012	Cloudy	26.2267	9.4931	66.1	15.69	21.6	8.6	14.8	0
27.9.2012	Cloudy	27.3530	9.4931	46.7	16.28	18.4	6.4	12.2	0
28.9.2012	Rain/Snow	33.6281	8.5277	125.6	15.28	20.8	5.6	13.1	0
29.9.2012	Rain/Snow	30.0883	7.7232	158.5	18.36	26.9	4.2	15.4	0
30.9.2012	Rain/Snow	30.2492	9.4931	53.9	18.64	19.6	7.5	13.2	0
1.10.2012	Sunny	22.0433	6.2751	57.6	11.19	19.5	6.9	13.2	0
2.10.2012	Sunny	30.8928	10.2976	37.8	18.59	21.7	9.7	15.6	0
3.10.2012	Sunny	17.5381	5.4706	155.5	3.04	16.9	14.1	15.8	1.27
4.10.2012	Sunny	43.9257	13.8374	243.3	12.88	25.1	7.3	15.9	2.794
5.10.2012	Rain/Snow	34.7544	13.3547	286	5.7	10.1	2.1	16.1	0
6.10.2012	Rain/Snow	34.4326	12.872	308.6	13.85	9.7	-0.9	5.1	0
7.10.2012	Rain/Snow	32.5018	7.7232	285.8	14.1	10.4	-2.9	4.7	0
8.10.2012	Cloudy	42.6385	15.2855	207.8	17.94	15.6	-4.4	6.9	0
9.10.2012	Cloudy	50.8444	18.8253	232.8	12.16	18.7	4.4	10.8	6.858
10.10.2012	Cloudy	47.7873	15.4464	273.1	15.81	11	-1.2	4.9	0.254
11.10.2012	Cloudy	46.8219	16.09	189.9	15.63	19	-1.9	9.1	0.762
12.10.2012	Cloudy	29.7665	11.7457	93.4	17.13	12.6	0.8	7.5	0
13.10.2012	Cloudy	32.0191	14.1592	193.2	1.63	18.5	6.4	13.1	9.652
14.10.2012	Cloudy	75.1403	21.2388	241.5	3.81	20.3	8.7	14.8	25.146
15.10.2012	Rain/Snow	31.5364	9.1713	267.2	15.78	15.8	3.2	9.1	0
16.10.2012	Rain/Snow	51.1662	15.1246	158.6	14.09	20.8	2.9	13.2	0
17.10.2012	Sunny	62.2683	18.0208	203.6	5.17	19.2	11.1	15.3	21.844
18.10.2012	Sunny	49.0745	20.4343	222.9	5.66	11.3	5.9	7.9	4.826
19.10.2012	Cloudy	24.7786	8.5277	260.8	5.26	10.1	5.2	7.4	5.08
20.10.2012	Cloudy	26.0658	8.3668	264.4	12.08	14.4	2.1	7.3	0
21.10.2012	Cloudy	29.2838	6.7578	164.2	14.5	20.5	0.8	11.2	0
22.10.2012	Rain/Snow	26.8703	7.0796	164.8	2.24	17.8	9.1	14.8	11.176
23.10.2012	Cloudy	25.5831	8.5277	152.1	3.73	20.5	14.7	17.7	2.794
24.10.2012	Rain/Snow	39.7423	14.481	190.4	11.91	25.7	19.1	20.3	0
25.10.2012	Rain/Snow	70.4742	24.6177	235.2	4.8	23.6	5.6	16.1	5.842
26.10.2012	Rain/Snow	31.2146	8.6886	301.6	13.56	9.9	0.9	5.2	0
