HVek	HPohlavi	HMesto	HMesto_X	HMesto_Y	HStat	PPobytOd	PNoci	POsob	PTypPobytu	PCenaUbytovani	PCenaStrava	PCenaSleva	PCenaCelkem	DHodnoceni	DUbytovani	DStrava	DPersonal	DZabava	MTeplota	MObloha	SEUR
53	muž	Jihlava	15.5909008	49.3963828	ÈR	21.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	24	24	38	70	-7.8	sluneèno	25.47
31	muž	Linec	14.2862742	48.3066489	Rakousko	28.1.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	60	55	43	46	-2.1	zataženo	25.16
50	muž	Linec	14.2862742	48.3066489	Rakousko	28.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	52	57	59	59	-2.1	zataženo	25.16
21	muž	Hradec Králové	15.8353464	50.2100194	ÈR	1.2.2012	21	3	rekreaèní	76230.00	0.00	200.00	76030.00	spokojen	81	91	63	22	2.8	zataženo	25.15
42	muž	Bratislava	17.1097606	48.1547933	Slovensko	3.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	34	56	55	57	0.7	zataženo	25.07
42	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	28	66	44	48	0.8	sluneèno	25.07
43	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	25	51	41	46	0.8	sluneèno	25.07
56	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	44	43	58	52	0.8	sluneèno	25.07
28	muž	Drážïany	13.7397044	51.0497456	Nìmecko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	42	55	57	52	0.8	sluneèno	25.07
49	žena	Salzburg	13.0475658	47.798095	Rakousko	4.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	36	66	44	63	0.8	sluneèno	25.07
56	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	42	67	71	50	0.8	sluneèno	25.07
62	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	prùmìr	25	66	42	45	0.8	sluneèno	25.07
71	muž	Drážïany	13.7397044	51.0497456	Nìmecko	8.2.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	spokojen	90	98	90	52	5	srážky	24.8
65	žena	Drážïany	13.7397044	51.0497456	Nìmecko	10.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	57	45	60	14	srážky	25.25
28	žena	Praha	14.4212806	50.0874967	ÈR	10.2.2012	14	3	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	13	40	37	46	14	srážky	25.25
43	muž	Salzburg	13.0475658	47.798095	Rakousko	10.2.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	prùmìr	43	42	59	36	14	srážky	25.25
25	muž	Praha	14.4212806	50.0874967	ÈR	10.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	16	31	28	2	14	srážky	25.25
40	žena	Bratislava	17.1097606	48.1547933	Slovensko	10.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	68	69	50	14	srážky	25.25
66	muž	Drážïany	13.7397044	51.0497456	Nìmecko	10.2.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	43	44	45	64	14	srážky	25.25
24	žena	Vídeò	16.3736767	48.2115631	Rakousko	10.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	42	67	72	33	14	srážky	25.25
24	žena	Drážïany	13.7397044	51.0497456	Nìmecko	10.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	50	55	72	34	14	srážky	25.25
82	žena	Bratislava	17.1097606	48.1547933	Slovensko	10.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	49	68	53	64	14	srážky	25.25
30	žena	Bratislava	17.1097606	48.1547933	Slovensko	10.2.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	33	58	59	64	14	srážky	25.25
53	muž	Vídeò	16.3736767	48.2115631	Rakousko	13.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	42	44	54	50	6.8	srážky	25.05
65	žena	Pardubice	15.780415	50.0409775	ÈR	13.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	26	55	53	33	6.8	srážky	25.05
38	muž	Pardubice	15.780415	50.0409775	ÈR	13.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	27	58	56	62	6.8	srážky	25.05
65	žena	Nitra	18.0902903	48.3139558	Slovensko	15.2.2012	1	3	služební	3630.00	450.00	0.00	4080.00	spokojen	85	89	64	56	12.9	zataženo	25.19
29	muž	Drážïany	13.7397044	51.0497456	Nìmecko	15.2.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	spokojen	92	91	100	58	12.9	zataženo	25.19
80	muž	Hradec Králové	15.8353464	50.2100194	ÈR	15.2.2012	21	3	rekreaèní	76230.00	0.00	200.00	76030.00	spokojen	89	89	86	22	12.9	zataženo	25.19
81	žena	Salzburg	13.0475658	47.798095	Rakousko	15.2.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	spokojen	81	96	63	56	12.9	zataženo	25.19
74	žena	Vídeò	16.3736767	48.2115631	Rakousko	15.2.2012	21	4	rekreaèní	101640.00	12600.00	200.00	114040.00	spokojen	97	87	91	51	12.9	zataženo	25.19
80	žena	Hradec Králové	15.8353464	50.2100194	ÈR	15.2.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	spokojen	88	81	85	57	12.9	zataženo	25.19
38	muž	Nitra	18.0902903	48.3139558	Slovensko	15.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	85	91	86	49	12.9	zataženo	25.19
39	žena	Liberec	15.0663036	50.7709239	ÈR	15.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	84	85	61	60	12.9	zataženo	25.19
75	muž	Linec	14.2862742	48.3066489	Rakousko	16.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	99	85	85	60	13.2	zataženo	25.27
53	muž	Linec	14.2862742	48.3066489	Rakousko	16.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	86	82	85	55	13.2	zataženo	25.27
70	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	14	38	38	48	13.4	srážky	25
35	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	43	41	60	45	13.4	srážky	25
39	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	prùmìr	26	49	43	35	13.4	srážky	25
25	žena	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	51	44	43	52	13.4	srážky	25
55	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	66	46	47	13.4	srážky	25
19	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	35	57	72	50	13.4	srážky	25
77	muž	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	0.00	200.00	67560.00	nespokojen	39	34	27	72	13.4	srážky	25
71	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	prùmìr	25	60	41	60	13.4	srážky	25
22	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	44	54	59	33	13.4	srážky	25
21	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	1	rekreaèní	8470.00	0.00	200.00	8270.00	prùmìr	26	54	72	60	13.4	srážky	25
43	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	34	53	41	64	13.4	srážky	25
70	muž	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	0.00	200.00	67560.00	nespokojen	16	39	40	40	13.4	srážky	25
36	muž	Salzburg	13.0475658	47.798095	Rakousko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	27	67	59	47	13.4	srážky	25
71	muž	Bratislava	17.1097606	48.1547933	Slovensko	17.2.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	26	58	55	57	13.4	srážky	25
35	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	41	68	53	47	13.4	srážky	25
45	žena	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	41	65	72	49	13.4	srážky	25
44	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	prùmìr	34	53	53	48	13.4	srážky	25
50	muž	Bratislava	17.1097606	48.1547933	Slovensko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	41	42	64	13.4	srážky	25
19	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	23	26	15	53	13.4	srážky	25
70	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	25	59	71	34	13.4	srážky	25
73	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	39	27	40	45	13.4	srážky	25
45	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	30	39	16	55	13.4	srážky	25
20	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	57	67	42	36	13.4	srážky	25
31	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	50	53	69	61	13.4	srážky	25
75	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	37	40	14	38	13.4	srážky	25
21	muž	Zlín	17.6700633	49.2280669	ÈR	17.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	44	55	71	45	13.4	srážky	25
33	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	51	52	45	33	13.4	srážky	25
32	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	43	53	59	34	13.4	srážky	25
33	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	59	66	60	47	10.9	sluneèno	24.91
65	žena	Drážïany	13.7397044	51.0497456	Nìmecko	20.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	43	60	43	61	10.9	sluneèno	24.91
71	žena	Vídeò	16.3736767	48.2115631	Rakousko	20.2.2012	2	4	rekreaèní	9680.00	1200.00	0.00	10880.00	prùmìr	58	56	48	57	10.9	sluneèno	24.91
21	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	33	66	55	61	10.9	sluneèno	24.91
64	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	41	58	57	51	10.9	sluneèno	24.91
29	žena	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	59	55	54	63	10.9	sluneèno	24.91
25	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	33	59	55	57	10.9	sluneèno	24.91
60	žena	Mnichov	11.5836375	48.1364669	Nìmecko	20.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	41	49	59	34	10.9	sluneèno	24.91
30	muž	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	58	56	45	57	10.9	sluneèno	24.91
31	žena	Pardubice	15.780415	50.0409775	ÈR	20.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	41	41	56	49	10.9	sluneèno	24.91
60	žena	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	95	93	64	26	10.8	sluneèno	25.17
34	žena	Hradec Králové	15.8353464	50.2100194	ÈR	22.2.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	spokojen	88	86	90	56	10.8	sluneèno	25.17
30	muž	Hradec Králové	15.8353464	50.2100194	ÈR	22.2.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	spokojen	88	99	76	58	10.8	sluneèno	25.17
51	muž	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	89	93	99	27	10.8	sluneèno	25.17
65	muž	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	87	100	99	54	10.8	sluneèno	25.17
50	muž	Vídeò	16.3736767	48.2115631	Rakousko	22.2.2012	2	1	rekreaèní	2420.00	300.00	0.00	2720.00	prùmìr	33	57	69	33	10.8	sluneèno	25.17
51	muž	Nitra	18.0902903	48.3139558	Slovensko	22.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	84	89	99	49	10.8	sluneèno	25.17
53	muž	Hradec Králové	15.8353464	50.2100194	ÈR	22.2.2012	21	2	rekreaèní	50820.00	6300.00	200.00	56920.00	spokojen	86	96	98	21	10.8	sluneèno	25.17
34	muž	Jihlava	15.5909008	49.3963828	ÈR	22.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	87	99	98	60	10.8	sluneèno	25.17
35	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	99	100	87	21	3.3	srážky	25.07
36	žena	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	3	služební	3630.00	0.00	0.00	3630.00	spokojen	81	88	62	49	3.3	srážky	25.07
49	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	94	91	92	54	3.3	srážky	25.07
45	muž	Jihlava	15.5909008	49.3963828	ÈR	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	97	85	75	25	3.3	srážky	25.07
30	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	93	100	98	27	3.3	srážky	25.07
65	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	90	99	85	23	3.3	srážky	25.07
66	muž	Linec	14.2862742	48.3066489	Rakousko	23.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	99	97	88	51	3.3	srážky	25.07
67	muž	Olomouc	17.2498364	49.5961789	ÈR	23.2.2012	16	2	rekreaèní	38720.00	4800.00	200.00	43320.00	prùmìr	28	57	42	34	3.3	srážky	25.07
70	žena	Bratislava	17.1097606	48.1547933	Slovensko	24.2.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	28	59	47	58	5.2	sluneèno	25.03
25	žena	Bratislava	17.1097606	48.1547933	Slovensko	24.2.2012	2	1	rekreaèní	2420.00	300.00	200.00	2520.00	prùmìr	27	59	58	47	5.2	sluneèno	25.03
51	muž	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	35	53	57	63	5.2	sluneèno	25.03
21	muž	Praha	14.4212806	50.0874967	ÈR	24.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	27	51	55	57	5.2	sluneèno	25.03
47	žena	Vídeò	16.3736767	48.2115631	Rakousko	24.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	43	55	70	33	5.2	sluneèno	25.03
55	žena	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	prùmìr	49	53	59	46	5.2	sluneèno	25.03
43	muž	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	51	54	42	51	5.2	sluneèno	25.03
18	muž	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	50	66	54	33	5.2	sluneèno	25.03
73	muž	Vídeò	16.3736767	48.2115631	Rakousko	24.2.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	43	52	43	60	5.2	sluneèno	25.03
55	žena	Drážïany	13.7397044	51.0497456	Nìmecko	24.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	53	53	47	5.2	sluneèno	25.03
22	muž	Praha	14.4212806	50.0874967	ÈR	24.2.2012	14	1	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	32	26	39	3	5.2	sluneèno	25.03
24	žena	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	26	44	60	60	14.9	sluneèno	25.05
51	žena	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	36	43	42	36	14.9	sluneèno	25.05
79	muž	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	44	53	55	57	14.9	sluneèno	25.05
19	žena	Drážïany	13.7397044	51.0497456	Nìmecko	27.2.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	prùmìr	33	50	42	33	14.9	sluneèno	25.05
79	žena	Jihlava	15.5909008	49.3963828	ÈR	27.2.2012	2	2	rekreaèní	4840.00	600.00	0.00	5440.00	prùmìr	26	49	59	47	14.9	sluneèno	25.05
64	žena	Salzburg	13.0475658	47.798095	Rakousko	29.2.2012	1	4	služební	4840.00	600.00	0.00	5440.00	spokojen	90	89	88	53	10.9	srážky	24.84
29	žena	Nitra	18.0902903	48.3139558	Slovensko	29.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	85	82	88	59	10.9	srážky	24.84
68	muž	Zlín	17.6700633	49.2280669	ÈR	29.2.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	36	56	60	33	10.9	srážky	24.84
75	žena	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	28	41	41	63	8.5	srážky	24.89
51	žena	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	34	44	42	46	8.5	srážky	24.89
82	muž	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	28	65	56	47	8.5	srážky	24.89
31	muž	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	52	55	70	46	8.5	srážky	24.89
76	žena	Praha	14.4212806	50.0874967	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	35	68	56	48	8.5	srážky	24.89
27	žena	Linec	14.2862742	48.3066489	Rakousko	1.3.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	95	93	75	21	8.5	srážky	24.89
22	muž	Olomouc	17.2498364	49.5961789	ÈR	1.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	41	68	43	36	8.5	srážky	24.89
77	muž	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	59	56	60	35	14	zataženo	24.71
53	žena	Olomouc	17.2498364	49.5961789	ÈR	2.3.2012	2	3	rekreaèní	7260.00	0.00	200.00	7060.00	prùmìr	52	59	46	52	14	zataženo	24.71
20	muž	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	42	55	71	36	14	zataženo	24.71
21	muž	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	58	66	48	51	14	zataženo	24.71
68	žena	Kladno	14.1022533	50.1484586	ÈR	2.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	41	68	70	51	14	zataženo	24.71
20	muž	Ostrava	18.2825511	49.8341497	ÈR	2.3.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	90	93	89	22	14	zataženo	24.71
56	žena	Zlín	17.6700633	49.2280669	ÈR	2.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	49	67	44	36	14	zataženo	24.71
19	muž	Zlín	17.6700633	49.2280669	ÈR	3.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	96	82	98	50	12	sluneèno	24.71
82	žena	Zlín	17.6700633	49.2280669	ÈR	3.3.2012	7	4	rekreaèní	33880.00	0.00	600.00	33280.00	spokojen	86	96	75	55	12	sluneèno	24.71
81	muž	Zlín	17.6700633	49.2280669	ÈR	3.3.2012	7	4	rekreaèní	33880.00	0.00	600.00	33280.00	spokojen	87	86	90	50	12	sluneèno	24.71
65	muž	Èeské Budìjovice	14.4757883	48.9763169	ÈR	4.3.2012	1	1	rekreaèní	1210.00	0.00	200.00	1010.00	nespokojen	16	29	39	53	6.6	sluneèno	24.71
31	žena	Karlovy Vary	12.8690381	50.2311075	ÈR	5.3.2012	1	1	služební	1210.00	0.00	0.00	1210.00	prùmìr	33	44	57	51	6.3	sluneèno	24.77
43	muž	Berlín	13.3908886	52.5176189	Nìmecko	5.3.2012	2	3	rekreaèní	7260.00	0.00	0.00	7260.00	prùmìr	26	68	71	49	6.3	sluneèno	24.77
32	muž	Drážïany	13.7397044	51.0497456	Nìmecko	5.3.2012	2	2	rekreaèní	4840.00	0.00	0.00	4840.00	prùmìr	28	44	69	57	6.3	sluneèno	24.77
20	žena	Jihlava	15.5909008	49.3963828	ÈR	5.3.2012	1	1	služební	1210.00	0.00	0.00	1210.00	nespokojen	39	37	28	69	6.3	sluneèno	24.77
22	žena	Vídeò	16.3736767	48.2115631	Rakousko	7.3.2012	2	1	rekreaèní	2420.00	0.00	0.00	2420.00	prùmìr	36	43	70	33	9.2	zataženo	24.87
25	muž	Olomouc	17.2498364	49.5961789	ÈR	8.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	60	59	44	34	10	sluneèno	24.77
51	žena	Olomouc	17.2498364	49.5961789	ÈR	8.3.2012	16	2	rekreaèní	38720.00	0.00	200.00	38520.00	prùmìr	50	43	46	49	10	sluneèno	24.77
80	žena	Berlín	13.3908886	52.5176189	Nìmecko	9.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	25	68	53	60	12.3	sluneèno	24.72
21	žena	Kladno	14.1022533	50.1484586	ÈR	9.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	43	60	57	52	12.3	sluneèno	24.72
66	muž	Ostrava	18.2825511	49.8341497	ÈR	9.3.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	spokojen	91	96	74	26	12.3	sluneèno	24.72
36	muž	Ostrava	18.2825511	49.8341497	ÈR	9.3.2012	7	4	rekreaèní	33880.00	0.00	200.00	33680.00	spokojen	82	86	98	56	12.3	sluneèno	24.72
81	muž	Kladno	14.1022533	50.1484586	ÈR	9.3.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	58	50	56	50	12.3	sluneèno	24.72
21	muž	Drážïany	13.7397044	51.0497456	Nìmecko	9.3.2012	2	1	rekreaèní	2420.00	0.00	200.00	2220.00	prùmìr	43	50	47	34	12.3	sluneèno	24.72
20	muž	Zlín	17.6700633	49.2280669	ÈR	10.3.2012	7	2	rekreaèní	16940.00	0.00	600.00	16340.00	spokojen	94	98	91	57	8.9	zataženo	24.72
